,Class,VideoIdx,Unnamed: 0,Image,FrameIdx,t0
0,1,V1,0,EmbryonVideoClassif/Frames/V1/1.png,1.png,23.75
1,1,V1,1,EmbryonVideoClassif/Frames/V1/2.png,2.png,23.75
2,1,V1,2,EmbryonVideoClassif/Frames/V1/3.png,3.png,23.75
3,1,V1,3,EmbryonVideoClassif/Frames/V1/4.png,4.png,23.75
4,1,V1,4,EmbryonVideoClassif/Frames/V1/5.png,5.png,23.75
5,1,V1,5,EmbryonVideoClassif/Frames/V1/6.png,6.png,23.75
6,1,V1,6,EmbryonVideoClassif/Frames/V1/7.png,7.png,23.75
7,1,V1,7,EmbryonVideoClassif/Frames/V1/8.png,8.png,23.75
8,1,V1,8,EmbryonVideoClassif/Frames/V1/9.png,9.png,23.75
9,1,V1,9,EmbryonVideoClassif/Frames/V1/10.png,10.png,23.75
10,1,V1,10,EmbryonVideoClassif/Frames/V1/11.png,11.png,23.75
11,1,V1,11,EmbryonVideoClassif/Frames/V1/12.png,12.png,23.75
12,1,V1,12,EmbryonVideoClassif/Frames/V1/13.png,13.png,23.75
13,1,V1,13,EmbryonVideoClassif/Frames/V1/14.png,14.png,23.75
14,1,V1,14,EmbryonVideoClassif/Frames/V1/15.png,15.png,23.75
15,1,V1,15,EmbryonVideoClassif/Frames/V1/16.png,16.png,23.75
16,1,V1,16,EmbryonVideoClassif/Frames/V1/17.png,17.png,23.75
17,1,V1,17,EmbryonVideoClassif/Frames/V1/18.png,18.png,23.75
18,1,V1,18,EmbryonVideoClassif/Frames/V1/19.png,19.png,23.75
19,1,V1,19,EmbryonVideoClassif/Frames/V1/20.png,20.png,23.75
20,1,V1,20,EmbryonVideoClassif/Frames/V1/21.png,21.png,23.75
21,1,V1,21,EmbryonVideoClassif/Frames/V1/22.png,22.png,23.75
22,1,V1,22,EmbryonVideoClassif/Frames/V1/23.png,23.png,23.75
23,1,V1,23,EmbryonVideoClassif/Frames/V1/24.png,24.png,23.75
24,1,V1,24,EmbryonVideoClassif/Frames/V1/25.png,25.png,23.75
25,1,V1,25,EmbryonVideoClassif/Frames/V1/26.png,26.png,23.75
26,1,V1,26,EmbryonVideoClassif/Frames/V1/27.png,27.png,23.75
27,1,V1,27,EmbryonVideoClassif/Frames/V1/28.png,28.png,23.75
28,1,V1,28,EmbryonVideoClassif/Frames/V1/29.png,29.png,23.75
29,1,V1,29,EmbryonVideoClassif/Frames/V1/30.png,30.png,23.75
30,1,V1,30,EmbryonVideoClassif/Frames/V1/31.png,31.png,23.75
31,1,V1,31,EmbryonVideoClassif/Frames/V1/32.png,32.png,23.75
32,1,V1,32,EmbryonVideoClassif/Frames/V1/33.png,33.png,23.75
33,1,V1,33,EmbryonVideoClassif/Frames/V1/34.png,34.png,23.75
34,1,V1,34,EmbryonVideoClassif/Frames/V1/35.png,35.png,23.75
35,1,V1,35,EmbryonVideoClassif/Frames/V1/36.png,36.png,23.75
36,1,V1,36,EmbryonVideoClassif/Frames/V1/37.png,37.png,23.75
37,1,V1,37,EmbryonVideoClassif/Frames/V1/38.png,38.png,23.75
38,1,V1,38,EmbryonVideoClassif/Frames/V1/39.png,39.png,23.75
39,1,V1,39,EmbryonVideoClassif/Frames/V1/40.png,40.png,23.75
40,1,V1,40,EmbryonVideoClassif/Frames/V1/41.png,41.png,23.75
41,1,V1,41,EmbryonVideoClassif/Frames/V1/42.png,42.png,23.75
42,1,V1,42,EmbryonVideoClassif/Frames/V1/43.png,43.png,23.75
43,1,V1,43,EmbryonVideoClassif/Frames/V1/44.png,44.png,23.75
44,1,V1,44,EmbryonVideoClassif/Frames/V1/45.png,45.png,23.75
45,1,V1,45,EmbryonVideoClassif/Frames/V1/46.png,46.png,23.75
46,1,V1,46,EmbryonVideoClassif/Frames/V1/47.png,47.png,23.75
47,1,V1,47,EmbryonVideoClassif/Frames/V1/48.png,48.png,23.75
48,1,V1,48,EmbryonVideoClassif/Frames/V1/49.png,49.png,23.75
49,1,V1,49,EmbryonVideoClassif/Frames/V1/50.png,50.png,23.75
50,1,V1,50,EmbryonVideoClassif/Frames/V1/51.png,51.png,23.75
51,1,V1,51,EmbryonVideoClassif/Frames/V1/52.png,52.png,23.75
52,1,V1,52,EmbryonVideoClassif/Frames/V1/53.png,53.png,23.75
53,1,V1,53,EmbryonVideoClassif/Frames/V1/54.png,54.png,23.75
54,1,V1,54,EmbryonVideoClassif/Frames/V1/55.png,55.png,23.75
55,1,V1,55,EmbryonVideoClassif/Frames/V1/56.png,56.png,23.75
56,1,V1,56,EmbryonVideoClassif/Frames/V1/57.png,57.png,23.75
57,1,V1,57,EmbryonVideoClassif/Frames/V1/58.png,58.png,23.75
58,1,V1,58,EmbryonVideoClassif/Frames/V1/59.png,59.png,23.75
59,1,V1,59,EmbryonVideoClassif/Frames/V1/60.png,60.png,23.75
60,1,V1,60,EmbryonVideoClassif/Frames/V1/61.png,61.png,23.75
61,1,V1,61,EmbryonVideoClassif/Frames/V1/62.png,62.png,23.75
62,1,V1,62,EmbryonVideoClassif/Frames/V1/63.png,63.png,23.75
63,1,V1,63,EmbryonVideoClassif/Frames/V1/64.png,64.png,23.75
64,1,V1,64,EmbryonVideoClassif/Frames/V1/65.png,65.png,23.75
65,1,V1,65,EmbryonVideoClassif/Frames/V1/66.png,66.png,23.75
66,1,V1,66,EmbryonVideoClassif/Frames/V1/67.png,67.png,23.75
67,1,V1,67,EmbryonVideoClassif/Frames/V1/68.png,68.png,23.75
68,1,V1,68,EmbryonVideoClassif/Frames/V1/69.png,69.png,23.75
69,1,V1,69,EmbryonVideoClassif/Frames/V1/70.png,70.png,23.75
70,1,V1,70,EmbryonVideoClassif/Frames/V1/71.png,71.png,23.75
71,1,V1,71,EmbryonVideoClassif/Frames/V1/72.png,72.png,23.75
72,1,V1,72,EmbryonVideoClassif/Frames/V1/73.png,73.png,23.75
73,1,V1,73,EmbryonVideoClassif/Frames/V1/74.png,74.png,23.75
