,VideoIdx,Class,Image,FrameIdx,t0
0,V1,1,EmbryonVideoClassif/Frames/V1/1.png,1.png,23.75
1,V1,1,EmbryonVideoClassif/Frames/V1/2.png,2.png,23.75
2,V1,1,EmbryonVideoClassif/Frames/V1/3.png,3.png,23.75
3,V1,1,EmbryonVideoClassif/Frames/V1/4.png,4.png,23.75
4,V1,1,EmbryonVideoClassif/Frames/V1/5.png,5.png,23.75
5,V1,1,EmbryonVideoClassif/Frames/V1/6.png,6.png,23.75
6,V1,1,EmbryonVideoClassif/Frames/V1/7.png,7.png,23.75
7,V1,1,EmbryonVideoClassif/Frames/V1/8.png,8.png,23.75
8,V1,1,EmbryonVideoClassif/Frames/V1/9.png,9.png,23.75
9,V1,1,EmbryonVideoClassif/Frames/V1/10.png,10.png,23.75
10,V1,1,EmbryonVideoClassif/Frames/V1/11.png,11.png,23.75
11,V1,1,EmbryonVideoClassif/Frames/V1/12.png,12.png,23.75
12,V1,1,EmbryonVideoClassif/Frames/V1/13.png,13.png,23.75
13,V1,1,EmbryonVideoClassif/Frames/V1/14.png,14.png,23.75
14,V1,1,EmbryonVideoClassif/Frames/V1/15.png,15.png,23.75
15,V1,1,EmbryonVideoClassif/Frames/V1/16.png,16.png,23.75
16,V1,1,EmbryonVideoClassif/Frames/V1/17.png,17.png,23.75
17,V1,1,EmbryonVideoClassif/Frames/V1/18.png,18.png,23.75
18,V1,1,EmbryonVideoClassif/Frames/V1/19.png,19.png,23.75
19,V1,1,EmbryonVideoClassif/Frames/V1/20.png,20.png,23.75
20,V1,1,EmbryonVideoClassif/Frames/V1/21.png,21.png,23.75
21,V1,1,EmbryonVideoClassif/Frames/V1/22.png,22.png,23.75
22,V1,1,EmbryonVideoClassif/Frames/V1/23.png,23.png,23.75
23,V1,1,EmbryonVideoClassif/Frames/V1/24.png,24.png,23.75
24,V1,1,EmbryonVideoClassif/Frames/V1/25.png,25.png,23.75
25,V1,1,EmbryonVideoClassif/Frames/V1/26.png,26.png,23.75
26,V1,1,EmbryonVideoClassif/Frames/V1/27.png,27.png,23.75
27,V1,1,EmbryonVideoClassif/Frames/V1/28.png,28.png,23.75
28,V1,1,EmbryonVideoClassif/Frames/V1/29.png,29.png,23.75
29,V1,1,EmbryonVideoClassif/Frames/V1/30.png,30.png,23.75
30,V1,1,EmbryonVideoClassif/Frames/V1/31.png,31.png,23.75
31,V1,1,EmbryonVideoClassif/Frames/V1/32.png,32.png,23.75
32,V1,1,EmbryonVideoClassif/Frames/V1/33.png,33.png,23.75
33,V1,1,EmbryonVideoClassif/Frames/V1/34.png,34.png,23.75
34,V1,1,EmbryonVideoClassif/Frames/V1/35.png,35.png,23.75
35,V1,1,EmbryonVideoClassif/Frames/V1/36.png,36.png,23.75
36,V1,1,EmbryonVideoClassif/Frames/V1/37.png,37.png,23.75
37,V1,1,EmbryonVideoClassif/Frames/V1/38.png,38.png,23.75
38,V1,1,EmbryonVideoClassif/Frames/V1/39.png,39.png,23.75
39,V1,1,EmbryonVideoClassif/Frames/V1/40.png,40.png,23.75
40,V1,1,EmbryonVideoClassif/Frames/V1/41.png,41.png,23.75
41,V1,1,EmbryonVideoClassif/Frames/V1/42.png,42.png,23.75
