,Class,VideoIdx,Image,FrameIdx,t0
0,7,V1,EmbryonVideoClassif/Frames/V1/1.png,1.png,23.75
1,7,V1,EmbryonVideoClassif/Frames/V1/2.png,2.png,23.75
2,7,V1,EmbryonVideoClassif/Frames/V1/3.png,3.png,23.75
3,7,V1,EmbryonVideoClassif/Frames/V1/4.png,4.png,23.75
4,7,V1,EmbryonVideoClassif/Frames/V1/5.png,5.png,23.75
5,7,V1,EmbryonVideoClassif/Frames/V1/6.png,6.png,23.75
6,7,V1,EmbryonVideoClassif/Frames/V1/7.png,7.png,23.75
7,7,V1,EmbryonVideoClassif/Frames/V1/8.png,8.png,23.75
8,7,V1,EmbryonVideoClassif/Frames/V1/9.png,9.png,23.75
9,7,V1,EmbryonVideoClassif/Frames/V1/10.png,10.png,23.75
10,7,V1,EmbryonVideoClassif/Frames/V1/11.png,11.png,23.75
11,7,V1,EmbryonVideoClassif/Frames/V1/12.png,12.png,23.75
12,7,V1,EmbryonVideoClassif/Frames/V1/13.png,13.png,23.75
13,7,V1,EmbryonVideoClassif/Frames/V1/14.png,14.png,23.75
14,7,V1,EmbryonVideoClassif/Frames/V1/15.png,15.png,23.75
15,7,V1,EmbryonVideoClassif/Frames/V1/16.png,16.png,23.75
16,7,V1,EmbryonVideoClassif/Frames/V1/17.png,17.png,23.75
17,7,V1,EmbryonVideoClassif/Frames/V1/18.png,18.png,23.75
18,7,V1,EmbryonVideoClassif/Frames/V1/19.png,19.png,23.75
19,7,V1,EmbryonVideoClassif/Frames/V1/20.png,20.png,23.75
20,7,V1,EmbryonVideoClassif/Frames/V1/21.png,21.png,23.75
21,7,V1,EmbryonVideoClassif/Frames/V1/22.png,22.png,23.75
22,7,V1,EmbryonVideoClassif/Frames/V1/23.png,23.png,23.75
23,7,V1,EmbryonVideoClassif/Frames/V1/24.png,24.png,23.75
24,7,V1,EmbryonVideoClassif/Frames/V1/25.png,25.png,23.75
25,7,V1,EmbryonVideoClassif/Frames/V1/26.png,26.png,23.75
26,7,V1,EmbryonVideoClassif/Frames/V1/27.png,27.png,23.75
27,7,V1,EmbryonVideoClassif/Frames/V1/28.png,28.png,23.75
28,7,V1,EmbryonVideoClassif/Frames/V1/29.png,29.png,23.75
29,7,V1,EmbryonVideoClassif/Frames/V1/30.png,30.png,23.75
30,7,V1,EmbryonVideoClassif/Frames/V1/31.png,31.png,23.75
31,7,V1,EmbryonVideoClassif/Frames/V1/32.png,32.png,23.75
32,7,V1,EmbryonVideoClassif/Frames/V1/33.png,33.png,23.75
33,7,V1,EmbryonVideoClassif/Frames/V1/34.png,34.png,23.75
34,7,V1,EmbryonVideoClassif/Frames/V1/35.png,35.png,23.75
35,7,V1,EmbryonVideoClassif/Frames/V1/36.png,36.png,23.75
36,7,V1,EmbryonVideoClassif/Frames/V1/37.png,37.png,23.75
37,7,V1,EmbryonVideoClassif/Frames/V1/38.png,38.png,23.75
38,7,V1,EmbryonVideoClassif/Frames/V1/39.png,39.png,23.75
39,7,V1,EmbryonVideoClassif/Frames/V1/40.png,40.png,23.75
40,7,V1,EmbryonVideoClassif/Frames/V1/41.png,41.png,23.75
41,7,V1,EmbryonVideoClassif/Frames/V1/42.png,42.png,23.75
42,7,V1,EmbryonVideoClassif/Frames/V1/43.png,43.png,23.75
43,7,V1,EmbryonVideoClassif/Frames/V1/44.png,44.png,23.75
44,7,V1,EmbryonVideoClassif/Frames/V1/45.png,45.png,23.75
45,7,V1,EmbryonVideoClassif/Frames/V1/46.png,46.png,23.75
46,7,V1,EmbryonVideoClassif/Frames/V1/47.png,47.png,23.75
47,7,V1,EmbryonVideoClassif/Frames/V1/48.png,48.png,23.75
48,7,V1,EmbryonVideoClassif/Frames/V1/49.png,49.png,23.75
49,7,V1,EmbryonVideoClassif/Frames/V1/50.png,50.png,23.75
50,7,V1,EmbryonVideoClassif/Frames/V1/51.png,51.png,23.75
51,7,V1,EmbryonVideoClassif/Frames/V1/52.png,52.png,23.75
52,7,V1,EmbryonVideoClassif/Frames/V1/53.png,53.png,23.75
53,7,V1,EmbryonVideoClassif/Frames/V1/54.png,54.png,23.75
54,7,V1,EmbryonVideoClassif/Frames/V1/55.png,55.png,23.75
55,7,V1,EmbryonVideoClassif/Frames/V1/56.png,56.png,23.75
56,7,V1,EmbryonVideoClassif/Frames/V1/57.png,57.png,23.75
57,7,V1,EmbryonVideoClassif/Frames/V1/58.png,58.png,23.75
58,7,V1,EmbryonVideoClassif/Frames/V1/59.png,59.png,23.75
59,7,V1,EmbryonVideoClassif/Frames/V1/60.png,60.png,23.75
60,7,V1,EmbryonVideoClassif/Frames/V1/61.png,61.png,23.75
61,7,V1,EmbryonVideoClassif/Frames/V1/62.png,62.png,23.75
62,7,V1,EmbryonVideoClassif/Frames/V1/63.png,63.png,23.75
