,Class,VideoIdx,Image,FrameIdx,t0
0,1,V2,EmbryonVideoClassif/Frames/V2/1.png,1.png,23.75
1,1,V2,EmbryonVideoClassif/Frames/V2/2.png,2.png,23.75
2,1,V2,EmbryonVideoClassif/Frames/V2/3.png,3.png,23.75
3,1,V2,EmbryonVideoClassif/Frames/V2/4.png,4.png,23.75
4,1,V2,EmbryonVideoClassif/Frames/V2/5.png,5.png,23.75
5,1,V2,EmbryonVideoClassif/Frames/V2/6.png,6.png,23.75
6,1,V2,EmbryonVideoClassif/Frames/V2/7.png,7.png,23.75
7,1,V2,EmbryonVideoClassif/Frames/V2/8.png,8.png,23.75
8,1,V2,EmbryonVideoClassif/Frames/V2/9.png,9.png,23.75
9,1,V2,EmbryonVideoClassif/Frames/V2/10.png,10.png,23.75
10,1,V2,EmbryonVideoClassif/Frames/V2/11.png,11.png,23.75
11,1,V2,EmbryonVideoClassif/Frames/V2/12.png,12.png,23.75
12,1,V2,EmbryonVideoClassif/Frames/V2/13.png,13.png,23.75
13,1,V2,EmbryonVideoClassif/Frames/V2/14.png,14.png,23.75
14,1,V2,EmbryonVideoClassif/Frames/V2/15.png,15.png,23.75
15,1,V2,EmbryonVideoClassif/Frames/V2/16.png,16.png,23.75
16,1,V2,EmbryonVideoClassif/Frames/V2/17.png,17.png,23.75
17,1,V2,EmbryonVideoClassif/Frames/V2/18.png,18.png,23.75
18,1,V2,EmbryonVideoClassif/Frames/V2/19.png,19.png,23.75
19,1,V2,EmbryonVideoClassif/Frames/V2/20.png,20.png,23.75
20,1,V2,EmbryonVideoClassif/Frames/V2/21.png,21.png,23.75
21,1,V2,EmbryonVideoClassif/Frames/V2/22.png,22.png,23.75
22,1,V2,EmbryonVideoClassif/Frames/V2/23.png,23.png,23.75
23,1,V2,EmbryonVideoClassif/Frames/V2/24.png,24.png,23.75
24,1,V2,EmbryonVideoClassif/Frames/V2/25.png,25.png,23.75
25,1,V2,EmbryonVideoClassif/Frames/V2/26.png,26.png,23.75
26,1,V2,EmbryonVideoClassif/Frames/V2/27.png,27.png,23.75
27,1,V2,EmbryonVideoClassif/Frames/V2/28.png,28.png,23.75
28,1,V2,EmbryonVideoClassif/Frames/V2/29.png,29.png,23.75
29,1,V2,EmbryonVideoClassif/Frames/V2/30.png,30.png,23.75
30,1,V2,EmbryonVideoClassif/Frames/V2/31.png,31.png,23.75
31,1,V2,EmbryonVideoClassif/Frames/V2/32.png,32.png,23.75
32,1,V2,EmbryonVideoClassif/Frames/V2/33.png,33.png,23.75
33,1,V2,EmbryonVideoClassif/Frames/V2/34.png,34.png,23.75
34,1,V2,EmbryonVideoClassif/Frames/V2/35.png,35.png,23.75
35,1,V2,EmbryonVideoClassif/Frames/V2/36.png,36.png,23.75
36,1,V2,EmbryonVideoClassif/Frames/V2/37.png,37.png,23.75
37,1,V2,EmbryonVideoClassif/Frames/V2/38.png,38.png,23.75
38,1,V2,EmbryonVideoClassif/Frames/V2/39.png,39.png,23.75
39,1,V2,EmbryonVideoClassif/Frames/V2/40.png,40.png,23.75
40,1,V2,EmbryonVideoClassif/Frames/V2/41.png,41.png,23.75
41,1,V2,EmbryonVideoClassif/Frames/V2/42.png,42.png,23.75
42,1,V2,EmbryonVideoClassif/Frames/V2/43.png,43.png,23.75
43,1,V2,EmbryonVideoClassif/Frames/V2/44.png,44.png,23.75
44,1,V2,EmbryonVideoClassif/Frames/V2/45.png,45.png,23.75
45,1,V2,EmbryonVideoClassif/Frames/V2/46.png,46.png,23.75
46,1,V2,EmbryonVideoClassif/Frames/V2/47.png,47.png,23.75
47,1,V2,EmbryonVideoClassif/Frames/V2/48.png,48.png,23.75
48,1,V2,EmbryonVideoClassif/Frames/V2/49.png,49.png,23.75
49,1,V2,EmbryonVideoClassif/Frames/V2/50.png,50.png,23.75
