,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V131,2.17,0.0,6.0,0.0
1,0,val,V10,2.3,0.0,1.0,0.0
2,0,train,V182,1.873,0.0,6.0,5.0
3,0,train,V16,0.139,1.0,5.0,5.0
4,0,train,V273,4.389,0.0,5.0,6.0
5,0,train,V203,5.469,0.0,5.0,4.0
6,0,train,V207,1.735,0.0,5.0,6.0
7,0,train,V240,1.178,0.0,5.0,6.0
8,0,train,V101,3.607,0.0,6.0,0.0
9,0,train,V139,3.108,0.0,6.0,1.0
10,0,train,V114,3.425,0.0,6.0,2.0
11,0,train,V152,3.015,0.0,6.0,7.0
12,0,train,V67,1.675,0.0,6.0,5.0
13,0,train,V27,2.573,0.0,6.0,7.0
14,0,train,V158,1.218,1.0,6.0,6.0
15,0,train,V138,1.284,1.0,6.0,6.0
16,0,train,V89,2.893,0.0,6.0,3.0
17,0,train,V186,2.519,0.0,6.0,2.0
18,0,train,V136,2.038,0.0,6.0,7.0
19,0,train,V260,1.979,0.0,6.0,5.0
20,0,train,V154,1.981,0.0,6.0,5.0
21,0,train,V220,2.281,0.0,6.0,0.0
22,0,train,V253,1.911,0.0,6.0,7.0
23,0,train,V54,1.479,1.0,6.0,6.0
24,0,train,V268,2.277,0.0,6.0,0.0
25,0,train,V255,1.861,0.0,6.0,7.0
26,0,train,V172,2.526,0.0,6.0,1.0
27,0,train,V213,2.226,0.0,6.0,0.0
28,0,train,V232,2.499,0.0,6.0,1.0
29,0,train,V276,2.667,0.0,6.0,3.0
30,0,train,V266,2.318,0.0,6.0,2.0
31,0,train,V173,2.288,0.0,6.0,2.0
32,0,train,V267,1.879,0.0,6.0,7.0
33,0,train,V60,2.011,0.0,6.0,0.0
34,0,train,V53,1.935,0.0,6.0,7.0
35,0,train,V69,2.254,0.0,6.0,1.0
36,0,train,V31,2.236,0.0,6.0,2.0
37,0,train,V78,2.149,0.0,6.0,4.0
38,0,train,V145,1.958,0.0,6.0,7.0
39,0,train,V61,2.025,0.0,6.0,5.0
40,0,train,V222,2.341,0.0,6.0,3.0
41,0,train,V262,1.949,0.0,6.0,7.0
42,0,train,V5,1.956,0.0,6.0,7.0
43,0,train,V169,1.943,0.0,6.0,7.0
44,0,train,V55,2.057,0.0,6.0,0.0
45,0,train,V239,2.331,0.0,6.0,3.0
46,0,train,V166,2.067,0.0,6.0,0.0
47,0,train,V225,2.068,0.0,6.0,0.0
48,0,train,V258,1.854,1.0,6.0,6.0
49,0,train,V26,2.014,0.0,6.0,5.0
50,0,train,V63,2.013,0.0,6.0,5.0
51,0,train,V25,2.248,0.0,6.0,1.0
52,0,train,V43,2.004,0.0,6.0,5.0
53,0,train,V15,1.866,0.0,6.0,7.0
54,0,train,V49,1.835,0.0,6.0,7.0
55,0,train,V75,1.824,0.0,7.0,6.0
56,0,train,V157,1.769,1.0,7.0,7.0
57,0,train,V134,1.769,1.0,7.0,7.0
58,0,train,V77,2.305,0.0,7.0,1.0
59,0,train,V198,1.687,1.0,7.0,7.0
60,0,train,V35,2.339,0.0,7.0,4.0
61,0,train,V2,1.589,1.0,7.0,7.0
62,0,train,V95,2.397,0.0,7.0,2.0
63,0,train,V142,1.52,1.0,7.0,7.0
64,0,train,V212,2.441,0.0,7.0,4.0
65,0,train,V206,1.7,0.0,7.0,6.0
66,0,train,V168,1.408,1.0,7.0,7.0
67,0,train,V174,1.681,0.0,7.0,6.0
68,0,train,V257,1.317,1.0,7.0,7.0
69,0,train,V119,2.205,0.0,7.0,0.0
70,0,train,V81,2.539,0.0,7.0,1.0
71,0,train,V99,1.63,0.0,7.0,6.0
72,0,train,V4,2.03,0.0,7.0,5.0
73,0,train,V236,2.697,0.0,7.0,4.0
74,0,train,V39,1.27,1.0,7.0,7.0
75,0,train,V57,2.191,0.0,7.0,0.0
76,0,train,V165,1.615,0.0,7.0,6.0
77,0,train,V23,1.23,1.0,7.0,7.0
78,0,train,V86,2.163,0.0,7.0,0.0
79,0,train,V249,2.672,0.0,7.0,4.0
80,0,train,V124,1.231,1.0,7.0,7.0
81,0,train,V103,2.064,0.0,7.0,5.0
82,0,train,V180,1.606,0.0,7.0,6.0
83,0,train,V187,1.171,1.0,7.0,7.0
84,0,train,V143,1.598,0.0,7.0,6.0
85,0,train,V121,1.13,1.0,7.0,7.0
86,0,train,V33,1.556,0.0,7.0,6.0
87,0,train,V118,2.798,0.0,7.0,1.0
88,0,train,V28,1.054,1.0,7.0,7.0
89,0,train,V46,2.88,0.0,7.0,1.0
90,0,train,V30,3.03,0.0,7.0,2.0
91,0,train,V104,3.015,0.0,7.0,2.0
92,0,train,V149,1.128,1.0,7.0,7.0
93,0,train,V251,2.898,0.0,7.0,2.0
94,0,train,V11,2.853,0.0,7.0,2.0
95,0,train,V125,1.117,1.0,7.0,7.0
96,0,train,V137,1.07,1.0,7.0,7.0
97,0,train,V59,2.611,0.0,7.0,4.0
98,0,train,V223,3.49,0.0,7.0,3.0
99,0,train,V163,1.604,0.0,7.0,6.0
100,0,train,V179,2.206,0.0,7.0,0.0
101,0,train,V244,2.512,0.0,7.0,4.0
102,0,train,V83,2.133,0.0,7.0,5.0
103,0,train,V144,2.123,0.0,7.0,5.0
104,0,train,V270,1.321,1.0,7.0,7.0
105,0,train,V22,2.411,0.0,7.0,2.0
106,0,train,V50,2.383,0.0,7.0,2.0
107,0,train,V116,2.901,0.0,7.0,3.0
108,0,train,V91,2.057,0.0,7.0,5.0
109,0,train,V48,1.451,1.0,7.0,7.0
110,0,train,V199,1.505,1.0,7.0,7.0
111,0,train,V250,2.341,0.0,7.0,4.0
112,0,train,V74,2.025,0.0,7.0,5.0
113,0,train,V271,2.323,0.0,7.0,1.0
114,0,train,V12,2.309,0.0,7.0,1.0
115,0,train,V209,1.865,0.0,7.0,6.0
116,0,train,V176,2.532,0.0,7.0,3.0
117,0,train,V274,1.593,1.0,7.0,7.0
118,0,train,V68,2.249,0.0,7.0,0.0
119,0,train,V37,2.249,0.0,7.0,0.0
120,0,train,V97,2.12,0.0,7.0,2.0
121,0,train,V148,1.984,0.0,7.0,5.0
122,0,train,V126,1.982,0.0,7.0,5.0
123,0,train,V229,1.978,0.0,7.0,5.0
124,0,train,V106,2.215,0.0,7.0,1.0
125,0,train,V151,1.973,0.0,7.0,5.0
126,0,train,V88,1.969,0.0,7.0,6.0
127,0,train,V189,1.966,0.0,7.0,5.0
128,0,train,V197,1.975,0.0,7.0,6.0
129,0,train,V210,2.264,0.0,7.0,4.0
130,0,train,V175,1.716,1.0,7.0,7.0
131,0,train,V45,1.957,0.0,7.0,6.0
132,0,train,V108,2.207,0.0,7.0,1.0
133,0,train,V219,2.251,0.0,7.0,4.0
134,0,train,V241,2.243,0.0,7.0,4.0
135,0,train,V263,1.947,0.0,7.0,6.0
136,0,train,V201,2.234,0.0,7.0,4.0
137,0,train,V178,2.213,0.0,7.0,0.0
138,0,train,V261,1.73,1.0,7.0,7.0
139,0,train,V208,1.944,0.0,7.0,5.0
140,0,train,V155,1.936,0.0,7.0,5.0
141,0,train,V164,1.693,1.0,7.0,7.0
142,0,train,V58,1.931,0.0,7.0,5.0
143,0,train,V105,2.236,0.0,7.0,2.0
144,0,train,V8,1.924,0.0,7.0,5.0
145,0,train,V120,1.639,1.0,7.0,7.0
146,0,train,V70,2.188,0.0,7.0,0.0
147,0,train,V248,2.189,0.0,7.0,0.0
148,0,train,V215,2.218,0.0,7.0,4.0
149,0,train,V94,1.89,0.0,7.0,6.0
150,0,train,V18,1.609,1.0,7.0,7.0
151,0,train,V230,2.359,0.0,7.0,2.0
152,0,train,V129,2.213,0.0,7.0,4.0
153,0,train,V170,1.525,1.0,7.0,7.0
