,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V129,0.62,1.0,0.0,0.0
1,0,val,V17,0.42,1.0,0.0,0.0
2,0,train,V178,0.265,1.0,0.0,0.0
3,0,train,V256,-0.0,1.0,0.0,0.0
4,0,train,V123,56.284,0.0,0.0,1.0
5,0,train,V97,-0.0,1.0,0.0,0.0
6,0,train,V138,25.135,0.0,0.0,1.0
7,0,train,V208,0.576,1.0,0.0,0.0
8,0,train,V57,7.822,0.0,1.0,0.0
9,0,train,V18,0.052,1.0,1.0,1.0
10,0,train,V116,6.902,0.0,1.0,0.0
11,0,train,V275,2.403,0.0,1.0,0.0
12,0,train,V153,0.001,1.0,0.0,0.0
13,0,train,V244,0.0,1.0,0.0,0.0
14,0,train,V28,34.44,0.0,0.0,1.0
15,0,train,V67,0.0,1.0,0.0,0.0
16,0,train,V236,0.0,1.0,0.0,0.0
17,0,train,V164,15.168,0.0,0.0,1.0
18,0,train,V50,0.0,1.0,0.0,0.0
19,0,train,V132,10.32,0.0,0.0,1.0
20,0,train,V201,0.044,1.0,0.0,0.0
21,0,train,V210,0.546,1.0,0.0,0.0
22,0,train,V137,0.545,1.0,1.0,1.0
23,0,train,V5,0.649,1.0,1.0,1.0
24,0,train,V277,6.243,0.0,1.0,0.0
25,0,train,V40,0.042,1.0,1.0,1.0
26,0,train,V150,1.91,0.0,1.0,0.0
27,0,train,V227,1.662,0.0,1.0,0.0
28,0,train,V226,2.341,0.0,1.0,0.0
29,0,train,V105,1.158,0.0,1.0,0.0
30,0,train,V147,0.377,1.0,0.0,0.0
31,0,train,V199,2.556,0.0,0.0,1.0
32,0,train,V45,2.807,0.0,0.0,1.0
33,0,train,V158,3.923,0.0,0.0,1.0
34,0,train,V145,1.471,0.0,0.0,1.0
35,0,train,V113,0.473,1.0,0.0,0.0
36,0,train,V136,0.681,1.0,1.0,1.0
37,0,train,V119,0.619,1.0,0.0,0.0
38,0,train,V142,0.212,1.0,1.0,1.0
39,0,train,V128,0.543,1.0,1.0,1.0
40,0,train,V15,0.176,1.0,1.0,1.0
41,0,train,V186,2.653,0.0,1.0,0.0
42,0,train,V272,0.041,1.0,1.0,1.0
43,0,train,V200,0.162,1.0,1.0,1.0
44,0,train,V209,0.061,1.0,1.0,1.0
45,0,train,V231,2.385,0.0,1.0,0.0
46,0,train,V101,2.168,0.0,1.0,0.0
47,0,train,V162,0.13,1.0,1.0,1.0
48,0,train,V174,0.074,1.0,1.0,1.0
49,0,train,V262,0.551,1.0,1.0,1.0
50,0,train,V59,1.071,0.0,1.0,0.0
51,0,train,V68,0.96,0.0,1.0,0.0
52,0,train,V114,0.939,0.0,1.0,0.0
53,0,train,V61,0.736,0.0,1.0,0.0
54,0,train,V20,0.473,1.0,0.0,0.0
55,0,train,V117,0.246,1.0,0.0,0.0
56,0,train,V241,0.052,1.0,0.0,0.0
57,0,train,V22,0.022,1.0,0.0,0.0
58,0,train,V44,0.033,1.0,0.0,0.0
59,0,train,V37,0.022,1.0,0.0,0.0
60,0,train,V55,0.004,1.0,0.0,0.0
61,0,train,V249,0.001,1.0,0.0,0.0
62,0,train,V58,0.0,1.0,0.0,0.0
63,0,train,V94,9.003,0.0,0.0,1.0
64,0,train,V36,0.0,1.0,0.0,0.0
65,0,train,V110,0.002,1.0,0.0,0.0
66,0,train,V99,6.679,0.0,0.0,1.0
67,0,train,V143,5.144,0.0,0.0,1.0
68,0,train,V230,0.0,1.0,0.0,0.0
69,0,train,V233,0.01,1.0,0.0,0.0
70,0,train,V84,0.012,1.0,0.0,0.0
71,0,train,V3,0.012,1.0,0.0,0.0
72,0,train,V23,2.179,0.0,0.0,1.0
73,0,train,V203,0.085,1.0,0.0,0.0
74,0,train,V13,0.07,1.0,0.0,0.0
75,0,train,V172,0.084,1.0,0.0,0.0
76,0,train,V66,0.095,1.0,0.0,0.0
77,0,train,V27,2.967,0.0,0.0,1.0
78,0,train,V248,0.731,0.0,1.0,0.0
79,0,train,V189,0.378,1.0,0.0,0.0
80,0,train,V191,0.978,0.0,0.0,1.0
81,0,train,V54,0.485,1.0,1.0,1.0
82,0,train,V215,0.806,0.0,1.0,0.0
83,0,train,V135,0.963,0.0,1.0,0.0
84,0,train,V155,0.593,1.0,0.0,0.0
85,0,train,V182,0.631,1.0,0.0,0.0
86,0,train,V175,0.26,1.0,1.0,1.0
87,0,train,V149,0.975,0.0,0.0,1.0
88,0,train,V34,1.537,0.0,1.0,0.0
89,0,train,V98,0.34,1.0,0.0,0.0
90,0,train,V24,0.099,1.0,0.0,0.0
91,0,train,V223,0.108,1.0,0.0,0.0
92,0,train,V170,1.497,0.0,0.0,1.0
93,0,train,V221,0.194,1.0,0.0,0.0
94,0,train,V171,0.777,0.0,1.0,0.0
95,0,train,V193,0.08,1.0,0.0,0.0
96,0,train,V131,0.132,1.0,0.0,0.0
97,0,train,V76,0.392,1.0,0.0,0.0
98,0,train,V8,0.158,1.0,0.0,0.0
99,0,train,V25,0.376,1.0,0.0,0.0
100,0,train,V192,0.443,1.0,0.0,0.0
