,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V159,2.458,0.0,2.0,0.0
1,0,val,V152,1.197,0.0,2.0,7.0
2,0,train,V260,2.028,0.0,3.0,5.0
3,0,train,V171,2.907,0.0,3.0,4.0
4,0,train,V164,1.25,0.0,3.0,7.0
5,0,train,V77,2.644,0.0,3.0,1.0
6,0,train,V193,2.418,0.0,5.0,4.0
7,0,train,V267,1.23,0.0,5.0,7.0
8,0,train,V206,2.133,0.0,5.0,6.0
9,0,train,V132,1.174,0.0,5.0,7.0
10,0,train,V8,1.682,0.0,4.0,5.0
11,0,train,V240,2.068,0.0,4.0,6.0
12,0,train,V70,3.029,0.0,4.0,0.0
13,0,train,V165,2.016,0.0,4.0,6.0
14,0,train,V204,3.43,0.0,4.0,3.0
15,0,train,V94,1.953,0.0,7.0,6.0
16,0,train,V200,1.125,1.0,7.0,7.0
17,0,train,V221,3.513,0.0,4.0,3.0
18,0,train,V227,2.613,0.0,7.0,2.0
19,0,train,V57,2.806,0.0,7.0,0.0
20,0,train,V145,1.148,1.0,7.0,7.0
21,0,train,V76,2.545,0.0,7.0,1.0
22,0,train,V140,2.521,0.0,7.0,1.0
23,0,train,V7,2.663,0.0,7.0,0.0
24,0,train,V99,1.786,0.0,7.0,6.0
25,0,train,V189,1.906,0.0,7.0,5.0
26,0,train,V245,3.2,0.0,6.0,3.0
27,0,train,V108,2.373,0.0,6.0,1.0
28,0,train,V191,1.177,0.0,3.0,7.0
29,0,train,V95,2.761,0.0,3.0,2.0
30,0,train,V199,1.176,0.0,6.0,7.0
31,0,train,V12,2.304,0.0,3.0,1.0
32,0,train,V192,2.53,0.0,1.0,4.0
33,0,train,V236,2.534,0.0,1.0,4.0
34,0,train,V64,2.517,0.0,1.0,4.0
35,0,train,V104,2.713,0.0,1.0,2.0
36,0,train,V157,1.191,0.0,1.0,7.0
37,0,train,V40,1.212,0.0,1.0,7.0
38,0,train,V25,2.178,1.0,1.0,1.0
39,0,train,V87,3.077,0.0,1.0,3.0
40,0,train,V80,2.096,0.0,1.0,5.0
41,0,train,V75,1.865,0.0,1.0,6.0
42,0,train,V255,1.159,0.0,1.0,7.0
43,0,train,V201,2.201,0.0,1.0,4.0
44,0,train,V46,2.053,1.0,1.0,1.0
45,0,train,V110,2.09,0.0,1.0,5.0
46,0,train,V18,1.186,0.0,1.0,7.0
47,0,train,V38,3.013,0.0,1.0,0.0
48,0,train,V149,1.176,0.0,1.0,7.0
49,0,train,V45,1.927,0.0,1.0,6.0
50,0,train,V125,1.172,0.0,1.0,7.0
51,0,train,V114,2.764,0.0,1.0,2.0
52,0,train,V62,1.932,0.0,1.0,6.0
53,0,train,V175,1.126,0.0,1.0,7.0
54,0,train,V27,1.104,0.0,1.0,7.0
55,0,train,V253,1.097,0.0,1.0,7.0
56,0,train,V9,2.073,0.0,1.0,5.0
57,0,train,V106,2.121,0.0,7.0,1.0
58,0,train,V124,1.036,1.0,7.0,7.0
59,0,train,V247,3.327,0.0,7.0,3.0
60,0,train,V37,2.982,0.0,7.0,0.0
61,0,train,V150,2.091,0.0,7.0,5.0
62,0,train,V67,2.026,0.0,7.0,5.0
63,0,train,V235,2.451,0.0,7.0,4.0
64,0,train,V215,2.343,0.0,7.0,4.0
65,0,train,V105,2.71,0.0,7.0,2.0
66,0,train,V231,2.229,0.0,7.0,1.0
67,0,train,V131,3.151,0.0,7.0,0.0
68,0,train,V203,2.269,0.0,7.0,4.0
69,0,train,V207,2.006,0.0,7.0,6.0
70,0,train,V273,1.977,0.0,7.0,6.0
71,0,train,V39,1.078,1.0,7.0,7.0
72,0,train,V123,1.095,1.0,7.0,7.0
73,0,train,V262,1.081,0.0,4.0,7.0
74,0,train,V90,1.944,0.0,4.0,5.0
75,0,train,V188,1.057,1.0,7.0,7.0
76,0,train,V216,2.711,0.0,7.0,2.0
77,0,train,V83,1.921,0.0,7.0,5.0
78,0,train,V28,1.051,1.0,7.0,7.0
79,0,train,V59,1.849,1.0,4.0,4.0
80,0,train,V208,1.8,0.0,7.0,5.0
81,0,train,V232,2.427,0.0,7.0,1.0
82,0,train,V147,1.757,1.0,4.0,4.0
83,0,train,V36,2.659,0.0,4.0,2.0
84,0,train,V119,3.012,0.0,4.0,0.0
85,0,train,V138,2.013,0.0,7.0,6.0
86,0,train,V15,1.065,1.0,7.0,7.0
87,0,train,V34,3.901,0.0,4.0,3.0
88,0,train,V162,1.101,0.0,4.0,7.0
89,0,train,V186,2.442,0.0,4.0,2.0
90,0,train,V251,2.414,0.0,4.0,2.0
91,0,train,V74,1.751,0.0,7.0,5.0
92,0,train,V102,2.826,0.0,4.0,0.0
93,0,train,V103,1.777,0.0,7.0,5.0
94,0,train,V155,1.753,0.0,4.0,5.0
95,0,train,V126,1.711,0.0,7.0,5.0
96,0,train,V210,2.242,0.0,7.0,4.0
97,0,train,V122,1.624,0.0,4.0,5.0
