,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V131,1.889,1.0,0.0,0.0
1,0,val,V10,1.938,1.0,0.0,0.0
2,0,train,V145,2.127,0.0,6.0,7.0
3,0,train,V129,3.002,0.0,6.0,4.0
4,0,train,V225,2.194,0.0,6.0,0.0
5,0,train,V250,2.871,0.0,6.0,4.0
6,0,train,V208,1.971,0.0,3.0,5.0
7,0,train,V244,2.731,0.0,3.0,4.0
8,0,train,V271,1.933,0.0,6.0,1.0
9,0,train,V83,1.887,0.0,6.0,5.0
10,0,train,V2,2.02,0.0,3.0,7.0
11,0,train,V179,2.088,0.0,6.0,0.0
12,0,train,V27,2.01,0.0,6.0,7.0
13,0,train,V158,1.677,1.0,6.0,6.0
14,0,train,V258,1.735,1.0,6.0,6.0
15,0,train,V178,2.168,0.0,6.0,0.0
16,0,train,V187,2.115,0.0,6.0,7.0
17,0,train,V8,1.878,0.0,3.0,5.0
18,0,train,V4,1.959,0.0,3.0,5.0
19,0,train,V210,3.075,0.0,6.0,4.0
20,0,train,V170,1.863,0.0,3.0,7.0
21,0,train,V138,1.83,1.0,6.0,6.0
22,0,train,V106,2.158,0.0,6.0,1.0
23,0,train,V105,2.527,0.0,6.0,2.0
24,0,train,V12,2.004,0.0,6.0,1.0
25,0,train,V55,2.022,0.0,3.0,0.0
26,0,train,V180,1.775,1.0,6.0,6.0
27,0,train,V266,2.619,0.0,6.0,2.0
28,0,train,V95,2.437,0.0,3.0,2.0
29,0,train,V199,1.988,0.0,6.0,7.0
30,0,train,V230,2.505,0.0,6.0,2.0
31,0,train,V198,2.072,0.0,5.0,7.0
32,0,train,V151,1.871,0.0,6.0,5.0
33,0,train,V1,2.022,0.0,3.0,7.0
34,0,train,V88,1.898,0.0,3.0,6.0
35,0,train,V28,2.176,0.0,6.0,7.0
36,0,train,V240,1.823,1.0,6.0,6.0
37,0,train,V61,1.952,0.0,6.0,5.0
38,0,train,V116,1.775,1.0,3.0,3.0
39,0,train,V241,2.973,0.0,6.0,4.0
40,0,train,V265,3.079,0.0,6.0,4.0
41,0,train,V120,2.07,0.0,6.0,7.0
42,0,train,V143,1.815,0.0,3.0,6.0
43,0,train,V232,2.015,0.0,6.0,1.0
44,0,train,V111,1.785,1.0,6.0,6.0
45,0,train,V263,1.782,1.0,6.0,6.0
46,0,train,V197,1.873,0.0,3.0,6.0
47,0,train,V118,1.979,0.0,5.0,1.0
48,0,train,V16,2.015,0.0,6.0,5.0
49,0,train,V124,2.037,0.0,3.0,7.0
50,0,train,V209,1.815,1.0,6.0,6.0
51,0,train,V66,3.015,0.0,6.0,4.0
52,0,train,V182,1.815,0.0,3.0,5.0
53,0,train,V136,2.039,0.0,3.0,7.0
54,0,train,V49,1.946,0.0,6.0,7.0
55,0,train,V81,1.969,0.0,3.0,1.0
56,0,train,V222,1.948,0.0,5.0,3.0
57,0,train,V260,1.938,0.0,6.0,5.0
58,0,train,V31,2.464,0.0,3.0,2.0
59,0,train,V157,2.122,0.0,5.0,7.0
60,0,train,V36,2.584,0.0,6.0,2.0
61,0,train,V223,1.743,0.0,6.0,3.0
62,0,train,V252,1.798,1.0,6.0,6.0
63,0,train,V176,1.933,0.0,6.0,3.0
64,0,train,V267,2.06,0.0,6.0,7.0
65,0,train,V152,2.087,0.0,3.0,7.0
66,0,train,V78,2.792,0.0,6.0,4.0
67,0,train,V58,1.905,0.0,6.0,5.0
68,0,train,V134,2.063,0.0,3.0,7.0
69,0,train,V149,2.085,0.0,6.0,7.0
70,0,train,V51,2.056,0.0,6.0,7.0
71,0,train,V57,2.11,0.0,6.0,0.0
72,0,train,V39,1.903,0.0,6.0,7.0
73,0,train,V46,2.14,0.0,5.0,1.0
74,0,train,V104,2.462,0.0,6.0,2.0
75,0,train,V5,2.039,0.0,6.0,7.0
76,0,train,V183,2.593,0.0,6.0,2.0
77,0,train,V276,1.745,1.0,3.0,3.0
78,0,train,V217,1.734,1.0,6.0,6.0
79,0,train,V109,1.774,1.0,3.0,3.0
80,0,train,V270,2.032,0.0,6.0,7.0
81,0,train,V67,1.937,0.0,6.0,5.0
82,0,train,V253,2.069,0.0,6.0,7.0
83,0,train,V192,2.941,0.0,3.0,4.0
84,0,train,V75,1.881,0.0,3.0,6.0
85,0,train,V142,2.037,0.0,3.0,7.0
86,0,train,V148,1.883,0.0,3.0,5.0
87,0,train,V101,2.155,0.0,6.0,0.0
88,0,train,V115,1.944,0.0,3.0,1.0
89,0,train,V50,2.429,0.0,3.0,2.0
90,0,train,V173,2.577,0.0,6.0,2.0
91,0,train,V91,1.896,0.0,6.0,5.0
92,0,train,V175,2.003,0.0,3.0,7.0
93,0,train,V274,2.05,0.0,6.0,7.0
94,0,train,V139,1.945,0.0,6.0,1.0
95,0,train,V119,2.067,0.0,6.0,0.0
