,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,130,1.418,1.0,5.0,5.0
1,0,val,167,2.15,0.0,5.0,7.0
2,0,val,187,2.145,0.0,5.0,7.0
3,0,val,254,2.152,0.0,5.0,7.0
4,0,val,259,1.936,0.0,5.0,1.0
5,0,val,237,1.949,0.0,5.0,1.0
6,0,train,174,2.122,0.0,4.0,6.0
7,0,train,223,3.307,0.0,4.0,3.0
8,0,train,71,2.118,0.0,4.0,6.0
9,0,train,101,4.434,0.0,3.0,0.0
10,0,train,119,4.171,0.0,4.0,0.0
11,0,train,164,1.082,0.0,6.0,7.0
12,0,train,162,1.111,0.0,2.0,7.0
13,0,train,135,2.316,0.0,4.0,5.0
14,0,train,170,1.984,0.0,3.0,7.0
15,0,train,67,1.552,0.0,6.0,5.0
16,0,train,116,4.482,0.0,6.0,3.0
17,0,train,12,2.393,0.0,3.0,1.0
18,0,train,210,1.996,0.0,6.0,4.0
19,0,train,94,2.485,0.0,3.0,6.0
20,0,train,103,1.726,0.0,4.0,5.0
21,0,train,46,3.251,0.0,6.0,1.0
22,0,train,20,2.198,0.0,3.0,1.0
23,0,train,191,1.717,0.0,4.0,7.0
24,0,train,5,1.05,0.0,6.0,7.0
25,0,train,275,1.999,0.0,6.0,4.0
26,0,train,195,1.991,0.0,3.0,2.0
27,0,train,149,1.071,0.0,6.0,7.0
28,0,train,261,1.047,0.0,5.0,7.0
29,0,train,40,1.641,0.0,3.0,7.0
30,0,train,243,2.491,0.0,3.0,6.0
31,0,train,176,3.953,0.0,4.0,3.0
32,0,train,122,1.529,1.0,5.0,5.0
33,0,train,137,1.054,0.0,6.0,7.0
34,0,train,264,2.303,0.0,3.0,6.0
35,0,train,123,1.693,0.0,4.0,7.0
36,0,train,150,1.531,1.0,5.0,5.0
37,0,train,34,2.903,0.0,4.0,3.0
38,0,train,25,2.136,0.0,3.0,1.0
39,0,train,182,1.531,1.0,5.0,5.0
40,0,train,166,4.711,0.0,5.0,0.0
41,0,train,231,2.097,0.0,0.0,1.0
42,0,train,273,1.606,1.0,6.0,6.0
43,0,train,85,3.28,0.0,5.0,1.0
44,0,train,124,1.64,0.0,3.0,7.0
45,0,train,23,1.64,0.0,3.0,7.0
46,0,train,215,1.996,0.0,5.0,4.0
47,0,train,3,3.282,0.0,4.0,0.0
48,0,train,42,1.991,0.0,5.0,2.0
49,0,train,212,1.996,0.0,5.0,4.0
50,0,train,14,3.262,0.0,0.0,5.0
51,0,train,178,3.252,0.0,6.0,0.0
52,0,train,8,1.532,1.0,5.0,5.0
53,0,train,51,1.641,0.0,3.0,7.0
54,0,train,157,1.06,0.0,6.0,7.0
55,0,train,218,1.593,0.0,5.0,6.0
56,0,train,58,3.262,0.0,3.0,5.0
57,0,train,99,2.484,0.0,3.0,6.0
58,0,train,155,1.553,1.0,5.0,5.0
59,0,train,55,2.479,0.0,4.0,0.0
60,0,train,132,1.089,0.0,5.0,7.0
61,0,train,6,2.341,0.0,4.0,0.0
62,0,train,125,1.652,0.0,4.0,7.0
63,0,train,245,2.844,0.0,0.0,3.0
64,0,train,272,1.593,0.0,5.0,6.0
65,0,train,139,3.435,0.0,5.0,1.0
66,0,train,37,2.219,0.0,4.0,0.0
67,0,train,175,1.049,0.0,5.0,7.0
68,0,train,10,2.404,0.0,3.0,0.0
69,0,train,163,1.613,0.0,5.0,6.0
70,0,train,76,3.358,0.0,5.0,1.0
71,0,train,96,1.994,0.0,0.0,2.0
72,0,train,44,2.017,0.0,4.0,2.0
73,0,train,59,2.329,0.0,5.0,4.0
74,0,train,120,1.18,0.0,5.0,7.0
75,0,train,105,2.033,0.0,4.0,2.0
76,0,train,110,1.79,1.0,5.0,5.0
77,0,train,226,1.64,1.0,5.0,5.0
78,0,train,113,2.104,0.0,3.0,1.0
79,0,train,68,4.213,0.0,5.0,0.0
80,0,train,104,1.993,0.0,3.0,2.0
81,0,train,56,1.707,0.0,5.0,6.0
82,0,train,108,2.096,0.0,3.0,1.0
83,0,train,107,2.327,0.0,5.0,2.0
84,0,train,260,1.65,1.0,5.0,5.0
85,0,train,60,2.4,0.0,6.0,0.0
86,0,train,126,3.262,0.0,3.0,5.0
87,0,train,236,2.184,0.0,5.0,4.0
88,0,train,47,1.178,0.0,5.0,7.0
89,0,train,24,2.098,0.0,3.0,1.0
90,0,train,232,2.097,0.0,3.0,1.0
91,0,train,209,1.716,0.0,5.0,6.0
92,0,train,188,1.629,0.0,4.0,7.0
93,0,train,200,1.136,0.0,5.0,7.0
94,0,train,95,2.151,0.0,4.0,2.0
95,0,train,203,2.077,1.0,4.0,4.0
96,0,train,276,4.672,0.0,0.0,3.0
97,0,train,22,1.819,0.0,3.0,2.0
98,0,train,142,1.129,0.0,0.0,7.0
99,0,train,233,2.081,0.0,4.0,1.0
100,0,train,114,2.134,0.0,4.0,2.0
101,0,train,61,1.651,0.0,0.0,5.0
102,0,train,255,1.624,0.0,3.0,7.0
103,0,train,65,1.776,0.0,4.0,5.0
104,0,train,217,1.717,0.0,0.0,6.0
105,0,train,145,1.546,0.0,4.0,7.0
106,0,train,143,1.716,0.0,5.0,6.0
107,0,train,277,2.941,1.0,3.0,3.0
108,0,train,262,1.132,0.0,0.0,7.0
109,0,train,138,1.717,0.0,0.0,6.0
110,0,train,27,1.263,0.0,3.0,7.0
111,0,train,158,1.716,0.0,0.0,6.0
112,0,train,160,1.129,0.0,0.0,7.0
113,0,train,36,1.817,0.0,3.0,2.0
114,0,train,193,2.22,1.0,4.0,4.0
115,0,train,90,1.796,0.0,0.0,5.0
116,0,train,251,1.992,0.0,4.0,2.0
117,0,train,75,1.924,0.0,0.0,6.0
118,0,train,100,1.907,0.0,3.0,1.0
119,0,train,140,3.443,0.0,0.0,1.0
120,0,train,127,1.244,0.0,0.0,7.0
121,0,train,221,3.259,0.0,4.0,3.0
122,0,train,192,2.098,1.0,4.0,4.0
123,0,train,18,1.517,0.0,4.0,7.0
124,0,train,102,2.522,1.0,0.0,0.0
125,0,train,131,2.597,1.0,0.0,0.0
126,0,train,253,1.133,0.0,0.0,7.0
127,0,train,28,1.608,0.0,3.0,7.0
128,0,train,64,2.147,0.0,0.0,4.0
129,0,train,230,1.812,0.0,3.0,2.0
130,0,train,35,2.178,1.0,4.0,4.0
131,0,train,165,1.717,0.0,0.0,6.0
132,0,train,266,2.146,0.0,0.0,2.0
133,0,train,199,1.588,0.0,4.0,7.0
134,0,train,235,1.819,1.0,4.0,4.0
135,0,train,247,4.672,0.0,0.0,3.0
136,0,train,13,1.812,0.0,3.0,2.0
137,0,train,97,2.097,0.0,4.0,2.0
138,0,train,201,2.32,0.0,0.0,4.0
139,0,train,80,1.651,0.0,0.0,5.0
140,0,train,186,1.812,0.0,3.0,2.0
141,0,train,50,1.812,0.0,3.0,2.0
142,0,train,54,2.046,0.0,4.0,6.0
143,0,train,206,1.717,0.0,0.0,6.0
144,0,train,240,2.231,0.0,4.0,6.0
145,0,train,7,2.384,1.0,0.0,0.0
146,0,train,26,3.156,0.0,4.0,5.0
147,0,train,83,1.651,0.0,0.0,5.0
148,0,train,227,2.146,0.0,0.0,2.0
149,0,train,249,1.812,0.0,3.0,4.0
150,0,train,66,2.038,1.0,4.0,4.0
151,0,train,136,1.102,0.0,3.0,7.0
152,0,train,77,2.955,0.0,0.0,1.0
153,0,train,49,1.546,0.0,3.0,7.0
154,0,train,87,4.672,0.0,0.0,3.0
155,0,train,267,1.137,0.0,0.0,7.0
156,0,train,70,2.384,1.0,0.0,0.0
157,0,train,207,1.82,0.0,4.0,6.0
158,0,train,84,2.589,1.0,3.0,3.0
159,0,train,171,2.146,0.0,0.0,4.0
160,0,train,15,1.546,0.0,3.0,7.0
161,0,train,39,1.147,0.0,4.0,7.0
162,0,train,74,1.651,0.0,0.0,5.0
163,0,train,153,1.651,0.0,0.0,5.0
164,0,train,241,1.812,0.0,3.0,4.0
165,0,train,248,4.514,0.0,3.0,0.0
166,0,train,38,2.299,0.0,4.0,0.0
167,0,train,78,2.146,0.0,0.0,4.0
168,0,train,62,2.351,0.0,4.0,6.0
169,0,train,128,2.346,0.0,3.0,6.0
170,0,train,208,1.651,0.0,0.0,5.0
171,0,train,45,2.35,0.0,3.0,6.0
172,0,train,117,4.672,0.0,0.0,3.0
173,0,train,57,2.398,1.0,0.0,0.0
174,0,train,216,2.146,0.0,0.0,2.0
175,0,train,257,1.129,0.0,0.0,7.0
176,0,train,189,3.125,0.0,3.0,5.0
177,0,train,9,3.125,0.0,3.0,5.0
178,0,train,98,4.299,0.0,0.0,3.0
179,0,train,204,4.672,0.0,0.0,3.0
180,0,train,256,1.94,0.0,4.0,5.0
181,0,train,147,2.146,0.0,0.0,4.0
182,0,train,106,1.908,0.0,3.0,1.0
183,0,train,244,1.812,0.0,3.0,4.0
184,0,train,93,3.44,0.0,0.0,1.0
185,0,train,172,3.443,0.0,0.0,1.0
186,0,val,173,2.146,0.0,0.0,2.0
187,0,val,159,2.384,1.0,0.0,0.0
188,0,val,213,2.384,1.0,0.0,0.0
189,0,val,152,1.129,0.0,0.0,7.0
190,0,val,167,1.129,0.0,0.0,7.0
191,0,val,17,1.65,0.0,0.0,5.0
192,0,val,180,1.717,0.0,0.0,6.0
193,0,val,274,1.129,0.0,0.0,7.0
194,0,val,118,3.443,0.0,0.0,1.0
195,0,val,41,1.717,0.0,0.0,6.0
196,0,val,239,4.672,0.0,0.0,3.0
197,0,val,269,2.384,1.0,0.0,0.0
198,0,val,111,1.717,0.0,0.0,6.0
199,0,val,52,1.129,0.0,0.0,7.0
200,0,val,246,4.672,0.0,0.0,3.0
201,0,val,168,1.129,0.0,0.0,7.0
202,0,val,271,3.443,0.0,0.0,1.0
203,0,val,237,3.443,0.0,0.0,1.0
204,0,val,225,2.384,1.0,0.0,0.0
205,0,val,148,1.651,0.0,0.0,5.0
206,0,val,169,1.129,0.0,0.0,7.0
207,0,val,254,1.129,0.0,0.0,7.0
208,0,val,214,2.146,0.0,0.0,4.0
209,0,val,11,2.146,0.0,0.0,2.0
210,0,val,202,1.717,0.0,0.0,6.0
211,0,val,185,2.146,0.0,0.0,2.0
212,0,val,32,2.147,0.0,0.0,4.0
213,0,val,130,1.651,0.0,0.0,5.0
214,0,val,177,4.672,0.0,0.0,3.0
215,0,val,82,1.717,0.0,0.0,6.0
216,0,val,134,1.129,0.0,0.0,7.0
217,0,val,31,2.146,0.0,0.0,2.0
218,0,val,156,1.129,0.0,0.0,7.0
219,0,val,259,3.443,0.0,0.0,1.0
220,0,val,129,2.147,0.0,0.0,4.0
221,0,val,268,2.384,1.0,0.0,0.0
222,0,val,19,3.443,0.0,0.0,1.0
223,0,val,183,2.146,0.0,0.0,2.0
224,0,val,91,1.651,0.0,0.0,5.0
225,0,val,16,1.651,0.0,0.0,5.0
226,0,val,187,1.129,0.0,0.0,7.0
227,0,val,112,2.147,0.0,0.0,4.0
228,0,val,133,1.717,0.0,0.0,6.0
229,0,val,43,1.65,0.0,0.0,5.0
230,0,val,252,1.717,0.0,0.0,6.0
231,0,val,238,2.147,0.0,0.0,4.0
232,1,train,165,1.717,0.0,0.0,6.0
233,1,train,236,1.87,0.0,3.0,4.0
234,1,train,90,3.151,0.0,3.0,5.0
235,1,train,116,4.673,0.0,0.0,3.0
236,1,train,164,1.385,0.0,4.0,7.0
237,1,train,153,3.118,0.0,3.0,5.0
238,1,train,38,4.514,0.0,3.0,0.0
239,1,train,61,1.65,0.0,0.0,5.0
240,1,train,75,1.737,0.0,0.0,6.0
241,1,train,71,1.717,0.0,0.0,6.0
242,1,train,149,1.167,0.0,0.0,7.0
243,1,train,245,2.589,1.0,3.0,3.0
244,1,train,27,1.228,0.0,0.0,7.0
245,1,train,241,1.812,1.0,4.0,4.0
246,1,train,107,2.163,0.0,0.0,2.0
247,1,train,174,1.717,0.0,0.0,6.0
248,1,train,106,1.908,0.0,3.0,1.0
249,1,train,44,2.331,0.0,0.0,2.0
250,1,train,83,1.651,0.0,0.0,5.0
251,1,train,119,2.387,1.0,0.0,0.0
252,1,train,12,1.907,0.0,3.0,1.0
253,1,train,155,1.65,0.0,0.0,5.0
254,1,train,104,1.812,0.0,3.0,2.0
255,1,train,138,1.717,0.0,0.0,6.0
256,1,train,276,4.644,0.0,0.0,3.0
257,1,train,123,1.546,0.0,3.0,7.0
258,1,train,172,3.443,0.0,0.0,1.0
259,1,train,45,2.35,0.0,3.0,6.0
260,1,train,175,1.129,0.0,0.0,7.0
261,1,train,70,2.384,1.0,0.0,0.0
262,1,train,22,1.817,0.0,3.0,2.0
263,1,train,100,2.27,0.0,4.0,1.0
264,1,train,8,1.651,0.0,0.0,5.0
265,1,train,209,1.717,0.0,0.0,6.0
266,1,train,226,3.148,0.0,3.0,5.0
267,1,train,65,3.001,0.0,4.0,5.0
268,1,train,188,1.415,0.0,4.0,7.0
269,1,train,6,2.384,1.0,0.0,0.0
270,1,train,13,1.815,0.0,4.0,2.0
271,1,train,93,3.442,0.0,0.0,1.0
272,1,train,273,1.717,0.0,0.0,6.0
