,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V43,2.429,0.0,1.0,5.0
1,0,val,V246,5.18,0.0,1.0,3.0
2,0,train,V39,1.828,0.0,2.0,7.0
3,0,train,V164,2.012,0.0,2.0,7.0
4,0,train,V142,1.886,0.0,2.0,7.0
5,0,train,V178,3.756,0.0,2.0,0.0
6,0,train,V80,1.96,0.0,2.0,5.0
7,0,train,V36,1.429,1.0,2.0,2.0
8,0,train,V5,1.952,0.0,2.0,7.0
9,0,train,V244,1.511,0.0,2.0,4.0
10,0,train,V78,1.207,0.0,2.0,4.0
11,0,train,V253,2.038,0.0,2.0,7.0
12,0,train,V256,2.253,0.0,2.0,5.0
13,0,train,V262,1.879,0.0,2.0,7.0
14,0,train,V55,3.832,0.0,2.0,0.0
15,0,train,V186,1.429,1.0,2.0,2.0
16,0,train,V241,1.547,0.0,2.0,4.0
17,0,train,V71,3.011,0.0,2.0,6.0
18,0,train,V37,4.026,0.0,2.0,0.0
19,0,train,V14,2.663,0.0,2.0,5.0
20,0,train,V62,2.868,0.0,2.0,6.0
21,0,train,V150,2.699,0.0,2.0,5.0
22,0,train,V60,3.791,0.0,2.0,0.0
23,0,train,V67,1.533,0.0,2.0,5.0
24,0,train,V191,1.227,0.0,2.0,7.0
25,0,train,V160,1.234,0.0,2.0,7.0
26,0,train,V128,2.666,0.0,2.0,6.0
27,0,train,V54,2.499,0.0,2.0,6.0
28,0,train,V261,1.139,0.0,2.0,7.0
29,0,train,V83,1.865,0.0,2.0,5.0
30,0,train,V13,1.405,1.0,2.0,2.0
31,0,train,V124,1.244,0.0,2.0,7.0
32,0,train,V230,0.946,1.0,2.0,2.0
33,0,train,V46,3.664,0.0,2.0,1.0
34,0,train,V136,1.149,0.0,2.0,7.0
35,0,train,V26,2.431,0.0,2.0,5.0
36,0,train,V188,1.244,0.0,2.0,7.0
37,0,train,V22,1.266,1.0,2.0,2.0
38,0,train,V176,4.516,0.0,2.0,3.0
39,0,train,V18,1.242,0.0,2.0,7.0
40,0,train,V44,0.901,1.0,2.0,2.0
41,0,train,V6,3.737,0.0,2.0,0.0
42,0,train,V170,1.05,0.0,2.0,7.0
43,0,train,V108,3.293,0.0,2.0,1.0
44,0,train,V58,0.974,0.0,2.0,5.0
45,0,train,V138,2.795,0.0,2.0,6.0
46,0,train,V50,0.886,1.0,2.0,2.0
47,0,train,V189,0.977,0.0,2.0,5.0
48,0,train,V105,1.266,1.0,2.0,2.0
49,0,train,V8,0.974,0.0,2.0,5.0
50,0,train,V47,1.245,0.0,2.0,7.0
51,0,train,V135,2.388,0.0,2.0,5.0
52,0,train,V119,3.542,0.0,2.0,0.0
53,0,train,V7,3.388,0.0,2.0,0.0
54,0,train,V276,5.059,0.0,2.0,3.0
55,0,train,V74,0.974,0.0,2.0,5.0
56,0,train,V132,1.298,0.0,2.0,7.0
57,0,train,V34,4.583,0.0,2.0,3.0
58,0,train,V102,3.793,0.0,2.0,0.0
59,0,train,V206,2.524,0.0,2.0,6.0
60,0,train,V251,1.19,1.0,2.0,2.0
61,0,train,V68,3.454,0.0,2.0,0.0
62,0,train,V147,3.161,0.0,2.0,4.0
63,0,train,V40,1.048,0.0,2.0,7.0
64,0,train,V231,3.27,0.0,2.0,1.0
65,0,train,V153,1.038,0.0,2.0,5.0
66,0,train,V207,2.496,0.0,2.0,6.0
67,0,train,V20,3.27,0.0,2.0,1.0
68,0,train,V182,0.974,0.0,2.0,5.0
69,0,train,V157,1.244,0.0,2.0,7.0
70,0,train,V255,1.243,0.0,2.0,7.0
