,epoch,step_label,file_name,losses,accs,preds,Class
0,120,test,V3,0.567,1.0,0.0,0.0
1,120,test,V6,0.044,1.0,0.0,0.0
2,120,test,V8,0.239,1.0,1.0,1.0
3,120,test,V14,0.221,1.0,1.0,1.0
4,120,test,V18,0.704,0.0,0.0,1.0
5,120,test,V22,1.245,0.0,1.0,0.0
6,120,test,V27,0.01,1.0,1.0,1.0
7,120,test,V41,1.51,0.0,0.0,1.0
8,120,test,V42,0.722,0.0,1.0,0.0
9,120,test,V44,0.15,1.0,0.0,0.0
10,120,test,V46,0.549,1.0,0.0,0.0
11,120,test,V47,0.104,1.0,1.0,1.0
12,120,test,V70,0.119,1.0,0.0,0.0
13,120,test,V83,0.101,1.0,1.0,1.0
14,120,test,V91,0.181,1.0,1.0,1.0
15,120,test,V93,1.997,0.0,1.0,0.0
16,120,test,V97,1.992,0.0,1.0,0.0
17,120,test,V111,0.088,1.0,1.0,1.0
18,120,test,V116,0.86,0.0,1.0,0.0
19,120,test,V124,1.014,0.0,0.0,1.0
20,120,test,V126,1.329,0.0,0.0,1.0
21,120,test,V127,2.073,0.0,0.0,1.0
22,120,test,V136,0.06,1.0,1.0,1.0
23,120,test,V139,0.737,0.0,1.0,0.0
24,120,test,V140,0.332,1.0,0.0,0.0
25,120,test,V143,0.159,1.0,1.0,1.0
26,120,test,V148,0.037,1.0,1.0,1.0
27,120,test,V155,6.587,0.0,0.0,1.0
28,120,test,V170,0.032,1.0,1.0,1.0
29,120,test,V185,0.718,0.0,1.0,0.0
30,120,test,V195,0.784,0.0,1.0,0.0
31,120,test,V197,0.168,1.0,1.0,1.0
32,120,test,V201,0.711,0.0,0.0,1.0
33,120,test,V207,0.559,1.0,1.0,1.0
34,120,test,V214,0.068,1.0,1.0,1.0
35,120,test,V215,0.785,0.0,0.0,1.0
36,120,test,V218,0.964,0.0,0.0,1.0
37,120,test,V234,0.044,1.0,0.0,0.0
38,120,test,V266,0.551,1.0,0.0,0.0
39,120,test,V274,0.33,1.0,1.0,1.0
