,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V274,1.213,0.0,3.0,7.0
1,0,val,V159,2.488,0.0,3.0,0.0
2,0,train,V54,1.562,1.0,6.0,6.0
3,0,train,V257,1.318,0.0,6.0,7.0
4,0,train,V170,1.301,0.0,6.0,7.0
5,0,train,V60,2.519,0.0,6.0,0.0
6,0,train,V249,2.643,0.0,6.0,4.0
7,0,train,V157,1.19,0.0,6.0,7.0
8,0,train,V256,2.125,0.0,6.0,5.0
9,0,train,V55,2.279,0.0,6.0,0.0
10,0,train,V153,2.107,0.0,6.0,5.0
11,0,train,V150,2.086,0.0,6.0,5.0
12,0,train,V125,1.107,0.0,0.0,7.0
13,0,train,V39,1.106,0.0,6.0,7.0
14,0,train,V143,1.601,0.0,0.0,6.0
15,0,train,V22,2.725,0.0,0.0,2.0
16,0,train,V36,2.695,0.0,0.0,2.0
17,0,train,V208,1.879,0.0,0.0,5.0
18,0,train,V44,2.609,0.0,0.0,2.0
19,0,train,V253,1.057,0.0,0.0,7.0
20,0,train,V120,1.032,1.0,7.0,7.0
21,0,train,V45,1.69,0.0,0.0,6.0
22,0,train,V216,2.435,0.0,7.0,2.0
23,0,train,V117,4.033,0.0,7.0,3.0
24,0,train,V267,1.019,1.0,7.0,7.0
25,0,train,V200,1.026,1.0,7.0,7.0
26,0,train,V142,0.998,1.0,7.0,7.0
27,0,train,V172,3.115,0.0,7.0,1.0
28,0,train,V49,1.005,1.0,7.0,7.0
29,0,train,V13,2.225,0.0,7.0,2.0
30,0,train,V272,1.733,0.0,7.0,6.0
31,0,train,V107,2.205,0.0,7.0,2.0
32,0,train,V221,3.907,0.0,7.0,3.0
33,0,train,V207,1.786,0.0,7.0,6.0
34,0,train,V68,2.584,0.0,7.0,0.0
35,0,train,V37,2.549,0.0,7.0,0.0
36,0,train,V189,1.897,0.0,7.0,5.0
37,0,train,V15,0.993,1.0,7.0,7.0
38,0,train,V243,1.734,0.0,7.0,6.0
39,0,train,V264,1.704,0.0,7.0,6.0
40,0,train,V131,2.472,0.0,7.0,0.0
41,0,train,V78,2.782,0.0,7.0,4.0
42,0,train,V195,2.167,0.0,7.0,2.0
43,0,train,V59,2.769,0.0,7.0,4.0
44,0,train,V83,1.942,0.0,7.0,5.0
45,0,train,V95,2.078,0.0,7.0,2.0
