,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V254,1.477,0.0,1.0,7.0
1,0,val,V239,3.112,0.0,1.0,3.0
2,0,train,V13,3.029,0.0,0.0,2.0
3,0,train,V20,1.966,1.0,1.0,1.0
4,0,train,V60,2.23,0.0,1.0,0.0
5,0,train,V176,3.472,0.0,1.0,3.0
6,0,train,V3,1.972,0.0,1.0,0.0
7,0,train,V240,2.307,0.0,1.0,6.0
8,0,train,V24,1.651,1.0,1.0,1.0
9,0,train,V221,3.283,0.0,0.0,3.0
10,0,train,V87,2.954,0.0,0.0,3.0
11,0,train,V55,2.008,0.0,1.0,0.0
12,0,train,V84,2.675,0.0,0.0,3.0
13,0,train,V201,3.101,0.0,1.0,4.0
14,0,train,V231,1.9,0.0,3.0,1.0
15,0,train,V276,1.942,1.0,3.0,3.0
16,0,train,V174,2.537,0.0,3.0,6.0
17,0,train,V75,2.293,0.0,3.0,6.0
18,0,train,V155,2.792,0.0,3.0,5.0
19,0,train,V136,1.868,0.0,3.0,7.0
20,0,train,V249,2.985,0.0,3.0,4.0
21,0,train,V192,2.874,0.0,3.0,4.0
22,0,train,V58,2.601,0.0,3.0,5.0
23,0,train,V110,2.544,0.0,3.0,5.0
24,0,train,V261,1.841,0.0,3.0,7.0
25,0,train,V93,2.344,0.0,3.0,1.0
26,0,train,V62,2.137,0.0,3.0,6.0
27,0,train,V182,2.254,0.0,3.0,5.0
28,0,train,V217,2.11,0.0,3.0,6.0
29,0,train,V208,2.176,0.0,3.0,5.0
30,0,train,V105,2.886,0.0,3.0,2.0
31,0,train,V166,2.565,0.0,3.0,0.0
32,0,train,V186,2.825,0.0,3.0,2.0
33,0,train,V15,1.799,0.0,3.0,7.0
34,0,train,V45,1.97,0.0,3.0,6.0
35,0,train,V117,2.517,1.0,3.0,3.0
36,0,train,V189,1.771,0.0,3.0,5.0
37,0,train,V233,2.307,0.0,3.0,1.0
38,0,train,V104,2.57,0.0,3.0,2.0
39,0,train,V49,1.631,0.0,3.0,7.0
40,0,train,V135,1.622,0.0,3.0,5.0
41,0,train,V241,2.347,0.0,3.0,4.0
42,0,train,V127,1.696,0.0,3.0,7.0
43,0,train,V191,1.679,0.0,3.0,7.0
44,0,train,V131,2.874,0.0,3.0,0.0
45,0,train,V264,2.007,0.0,3.0,6.0
46,0,train,V272,1.873,0.0,3.0,6.0
47,0,train,V123,1.55,0.0,3.0,7.0
48,0,train,V150,1.613,0.0,3.0,5.0
49,0,train,V216,2.434,0.0,3.0,2.0
50,0,train,V46,2.522,0.0,5.0,1.0
51,0,train,V103,1.616,1.0,5.0,5.0
52,0,train,V37,2.587,0.0,3.0,0.0
53,0,train,V188,1.378,0.0,3.0,7.0
54,0,train,V218,1.898,0.0,5.0,6.0
55,0,train,V95,2.491,0.0,5.0,2.0
56,0,train,V207,1.891,0.0,5.0,6.0
57,0,train,V22,2.284,0.0,0.0,2.0
58,0,train,V12,2.408,0.0,5.0,1.0
59,0,train,V145,1.375,0.0,6.0,7.0
60,0,train,V256,1.785,0.0,6.0,5.0
61,0,train,V143,1.723,1.0,6.0,6.0
62,0,train,V102,2.481,0.0,6.0,0.0
63,0,train,V9,1.775,0.0,2.0,5.0
64,0,train,V164,1.344,0.0,2.0,7.0
65,0,train,V157,1.333,0.0,6.0,7.0
66,0,train,V255,1.311,0.0,0.0,7.0
67,0,train,V142,1.244,0.0,6.0,7.0
68,0,train,V210,2.7,0.0,0.0,4.0
69,0,train,V98,3.59,0.0,6.0,3.0
70,0,train,V70,2.428,0.0,6.0,0.0
71,0,train,V277,3.698,0.0,6.0,3.0
72,0,train,V124,1.227,0.0,6.0,7.0
73,0,train,V116,3.215,0.0,6.0,3.0
74,0,train,V51,1.158,0.0,0.0,7.0
75,0,train,V61,1.857,0.0,3.0,5.0
76,0,train,V113,2.576,0.0,7.0,1.0
77,0,train,V25,2.589,0.0,0.0,1.0
78,0,train,V106,2.498,0.0,3.0,1.0
79,0,train,V126,1.954,0.0,7.0,5.0
80,0,train,V99,1.862,0.0,3.0,6.0
81,0,train,V47,1.181,0.0,3.0,7.0
82,0,train,V267,1.168,0.0,3.0,7.0
83,0,train,V251,2.613,0.0,3.0,2.0
84,0,train,V38,2.674,0.0,3.0,0.0
85,0,train,V119,2.668,0.0,3.0,0.0
86,0,train,V227,2.629,0.0,3.0,2.0
87,0,train,V108,2.149,1.0,1.0,1.0
88,0,train,V107,2.614,0.0,3.0,2.0
89,0,train,V35,3.082,0.0,1.0,4.0
90,0,train,V34,3.113,0.0,1.0,3.0
91,0,train,V260,1.912,0.0,3.0,5.0
92,0,train,V10,2.573,0.0,3.0,0.0
93,0,train,V14,1.819,0.0,1.0,5.0
94,0,train,V193,2.928,0.0,1.0,4.0
95,0,train,V275,3.031,0.0,1.0,4.0
96,0,train,V97,2.424,0.0,0.0,2.0
97,0,train,V244,2.767,0.0,1.0,4.0
98,0,train,V67,1.813,0.0,3.0,5.0
99,0,train,V140,2.236,1.0,1.0,1.0
100,0,train,V42,2.284,0.0,0.0,2.0
101,0,train,V59,2.535,0.0,0.0,4.0
102,0,train,V5,1.37,0.0,0.0,7.0
103,0,train,V44,2.188,0.0,0.0,2.0
104,0,train,V199,1.471,0.0,0.0,7.0
105,0,train,V80,1.638,0.0,0.0,5.0
106,0,train,V236,2.321,0.0,0.0,4.0
107,0,train,V90,1.648,0.0,2.0,5.0
108,0,train,V212,2.2,0.0,0.0,4.0
109,0,train,V64,2.114,0.0,2.0,4.0
110,0,train,V8,1.55,1.0,5.0,5.0
