,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,202,2.663,0.0,3.0,6.0
1,0,val,159,3.596,0.0,3.0,0.0
2,0,val,129,3.292,0.0,3.0,4.0
3,0,val,259,3.313,0.0,3.0,1.0
4,0,val,213,3.54,0.0,3.0,0.0
5,0,val,185,3.116,0.0,3.0,2.0
6,0,train,155,2.717,0.0,3.0,5.0
7,0,train,140,3.291,0.0,3.0,1.0
8,0,train,230,3.449,0.0,3.0,2.0
9,0,train,68,3.554,0.0,3.0,0.0
10,0,train,240,1.946,0.0,3.0,6.0
11,0,train,172,3.165,0.0,3.0,1.0
12,0,train,76,3.43,0.0,3.0,1.0
13,0,train,34,2.231,1.0,3.0,3.0
14,0,train,107,3.364,0.0,3.0,2.0
15,0,train,66,3.565,0.0,3.0,4.0
16,0,train,100,3.376,0.0,3.0,1.0
17,0,train,60,1.334,0.0,3.0,0.0
18,0,train,267,1.312,0.0,3.0,7.0
19,0,train,119,3.995,0.0,3.0,0.0
20,0,train,124,0.996,0.0,3.0,7.0
21,0,train,103,2.799,0.0,3.0,5.0
22,0,train,57,3.242,0.0,3.0,0.0
23,0,train,70,1.4,1.0,0.0,0.0
24,0,train,80,2.6,0.0,3.0,5.0
25,0,train,40,1.027,0.0,3.0,7.0
26,0,train,125,1.664,0.0,3.0,7.0
27,0,train,249,1.54,0.0,3.0,4.0
28,0,train,215,3.567,0.0,3.0,4.0
29,0,train,200,1.491,0.0,3.0,7.0
30,0,train,98,1.762,1.0,3.0,3.0
31,0,train,116,1.302,1.0,3.0,3.0
32,0,train,127,1.519,0.0,3.0,7.0
33,0,train,165,2.892,0.0,3.0,6.0
34,0,train,110,2.714,0.0,3.0,5.0
35,0,train,218,2.568,0.0,3.0,6.0
36,0,train,26,2.488,0.0,3.0,5.0
37,0,train,101,3.245,0.0,3.0,0.0
38,0,train,37,3.899,0.0,3.0,0.0
39,0,train,120,1.048,0.0,3.0,7.0
40,0,train,162,1.917,0.0,3.0,7.0
