,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V16,0.379,1.0,0.0,0.0
1,0,val,V159,0.236,1.0,0.0,0.0
2,0,train,V132,0.641,1.0,1.0,1.0
3,0,train,V245,29.137,0.0,1.0,0.0
4,0,train,V170,-0.0,1.0,1.0,1.0
5,0,train,V45,0.0,1.0,1.0,1.0
6,0,train,V200,4.013,0.0,0.0,1.0
7,0,train,V164,-0.0,1.0,1.0,1.0
8,0,train,V227,37.56,0.0,1.0,0.0
9,0,train,V103,34.551,0.0,1.0,0.0
10,0,train,V56,0.0,1.0,1.0,1.0
11,0,train,V277,26.551,0.0,1.0,0.0
12,0,train,V216,0.537,0.0,1.0,0.0
13,0,train,V243,3.186,0.0,0.0,1.0
14,0,train,V40,25.385,0.0,0.0,1.0
15,0,train,V54,22.989,0.0,0.0,1.0
16,0,train,V160,0.742,1.0,1.0,1.0
17,0,train,V140,5.725,0.0,1.0,0.0
18,0,train,V241,0.004,1.0,0.0,0.0
19,0,train,V22,8.073,0.0,1.0,0.0
20,0,train,V175,-0.0,1.0,1.0,1.0
21,0,train,V127,0.0,1.0,1.0,1.0
22,0,train,V6,0.537,0.0,1.0,0.0
23,0,train,V97,20.911,0.0,1.0,0.0
24,0,train,V249,0.023,1.0,0.0,0.0
25,0,train,V188,17.843,0.0,0.0,1.0
26,0,train,V165,-0.0,1.0,1.0,1.0
27,0,train,V75,0.004,1.0,1.0,1.0
28,0,train,V62,0.0,1.0,1.0,1.0
29,0,train,V5,-0.0,1.0,1.0,1.0
30,0,train,V248,4.667,0.0,1.0,0.0
31,0,train,V27,0.002,1.0,1.0,1.0
32,0,train,V18,1.069,0.0,0.0,1.0
33,0,train,V232,10.452,0.0,1.0,0.0
34,0,train,V25,4.873,0.0,1.0,0.0
35,0,train,V125,0.087,1.0,1.0,1.0
36,0,train,V209,3.876,0.0,0.0,1.0
37,0,train,V107,0.0,1.0,0.0,0.0
38,0,train,V212,3.077,0.0,1.0,0.0
39,0,train,V99,0.005,1.0,1.0,1.0
40,0,train,V44,0.001,1.0,0.0,0.0
41,0,train,V94,8.003,0.0,0.0,1.0
42,0,train,V37,0.093,1.0,0.0,0.0
43,0,train,V276,0.01,1.0,0.0,0.0
44,0,train,V74,0.167,1.0,0.0,0.0
45,0,train,V230,0.0,1.0,0.0,0.0
46,0,train,V158,3.608,0.0,0.0,1.0
47,0,train,V9,0.006,1.0,0.0,0.0
48,0,train,V70,0.349,1.0,0.0,0.0
49,0,train,V114,7.302,0.0,1.0,0.0
50,0,train,V273,0.369,1.0,1.0,1.0
51,0,train,V138,0.0,1.0,1.0,1.0
52,0,train,V123,0.0,1.0,1.0,1.0
53,0,train,V192,5.406,0.0,1.0,0.0
54,0,train,V131,10.295,0.0,1.0,0.0
55,0,train,V126,0.01,1.0,0.0,0.0
56,0,train,V113,4.902,0.0,1.0,0.0
57,0,train,V231,0.572,0.0,1.0,0.0
58,0,train,V253,0.134,1.0,1.0,1.0
59,0,train,V39,2.416,0.0,0.0,1.0
60,0,train,V110,0.56,0.0,1.0,0.0
61,0,train,V203,0.118,1.0,0.0,0.0
62,0,train,V223,0.153,1.0,0.0,0.0
63,0,train,V163,8.094,0.0,0.0,1.0
64,0,train,V38,0.0,1.0,0.0,0.0
65,0,train,V42,1.223,0.0,1.0,0.0
66,0,train,V98,2.16,0.0,1.0,0.0
67,0,train,V78,0.0,1.0,0.0,0.0
68,0,train,V247,0.809,0.0,1.0,0.0
69,0,train,V149,1.088,0.0,0.0,1.0
70,0,train,V65,0.0,1.0,0.0,0.0
71,0,train,V13,0.0,1.0,0.0,0.0
72,0,train,V261,9.372,0.0,0.0,1.0
73,0,train,V55,0.0,1.0,0.0,0.0
74,0,train,V235,0.0,1.0,0.0,0.0
75,0,train,V117,0.407,1.0,0.0,0.0
76,0,train,V157,10.928,0.0,0.0,1.0
77,0,train,V67,7.102,0.0,1.0,0.0
78,0,train,V102,0.002,1.0,0.0,0.0
79,0,train,V255,0.76,1.0,1.0,1.0
80,0,train,V83,0.35,1.0,0.0,0.0
81,0,train,V71,0.298,1.0,1.0,1.0
82,0,train,V206,0.0,1.0,1.0,1.0
83,0,train,V50,5.156,0.0,1.0,0.0
84,0,train,V51,0.0,1.0,1.0,1.0
85,0,train,V100,2.671,0.0,1.0,0.0
86,0,train,V172,9.121,0.0,1.0,0.0
87,0,train,V260,2.483,0.0,1.0,0.0
88,0,train,V46,4.499,0.0,1.0,0.0
89,0,train,V3,4.478,0.0,1.0,0.0
90,0,train,V162,0.447,1.0,1.0,1.0
91,0,train,V139,0.512,1.0,0.0,0.0
92,0,train,V145,6.872,0.0,0.0,1.0
93,0,train,V90,0.012,1.0,0.0,0.0
94,0,train,V215,0.001,1.0,0.0,0.0
95,0,train,V257,14.69,0.0,0.0,1.0
96,0,train,V221,0.001,1.0,0.0,0.0
97,0,train,V178,0.001,1.0,0.0,0.0
98,0,train,V217,9.252,0.0,0.0,1.0
99,0,train,V95,0.0,1.0,0.0,0.0
100,0,train,V15,5.137,0.0,0.0,1.0
101,0,train,V24,0.024,1.0,0.0,0.0
102,0,train,V166,0.033,1.0,0.0,0.0
103,0,train,V120,3.173,0.0,0.0,1.0
104,0,train,V12,0.169,1.0,0.0,0.0
