,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,82,1.304,1.0,6.0,6.0
1,0,val,268,2.17,0.0,6.0,0.0
2,0,train,12,2.877,0.0,4.0,1.0
3,0,train,105,1.714,1.0,2.0,2.0
4,0,train,189,1.927,0.0,2.0,5.0
5,0,train,20,2.613,0.0,2.0,1.0
6,0,train,247,5.367,0.0,2.0,3.0
7,0,train,76,2.471,0.0,2.0,1.0
8,0,train,39,1.758,0.0,2.0,7.0
9,0,train,61,1.762,0.0,1.0,5.0
10,0,train,15,1.71,0.0,1.0,7.0
11,0,train,44,1.442,1.0,2.0,2.0
12,0,train,113,1.805,1.0,1.0,1.0
13,0,train,166,3.307,0.0,5.0,0.0
14,0,train,127,1.723,0.0,5.0,7.0
15,0,train,13,1.402,1.0,2.0,2.0
16,0,train,208,2.144,0.0,2.0,5.0
17,0,train,253,1.751,0.0,2.0,7.0
18,0,train,122,2.267,0.0,2.0,5.0
19,0,train,218,1.716,0.0,2.0,6.0
20,0,train,272,1.737,0.0,2.0,6.0
21,0,train,241,3.213,0.0,2.0,4.0
22,0,train,266,1.304,1.0,2.0,2.0
23,0,train,221,4.964,0.0,2.0,3.0
24,0,train,28,1.558,0.0,2.0,7.0
25,0,train,277,4.967,0.0,5.0,3.0
26,0,train,117,4.588,0.0,5.0,3.0
27,0,train,26,1.714,0.0,2.0,5.0
28,0,train,160,1.62,0.0,2.0,7.0
29,0,train,249,2.88,0.0,2.0,4.0
30,0,train,157,1.563,0.0,2.0,7.0
31,0,train,255,1.577,0.0,2.0,7.0
32,0,train,171,2.795,0.0,5.0,4.0
33,0,train,119,3.114,0.0,5.0,0.0
34,0,train,94,1.666,0.0,5.0,6.0
35,0,train,143,1.865,0.0,2.0,6.0
36,0,train,145,1.383,0.0,2.0,7.0
37,0,train,9,1.834,0.0,2.0,5.0
38,0,train,18,1.292,0.0,2.0,7.0
39,0,train,46,2.093,1.0,1.0,1.0
40,0,train,273,1.505,0.0,1.0,6.0
41,0,train,276,4.459,0.0,5.0,3.0
42,0,train,98,4.493,0.0,5.0,3.0
43,0,train,116,4.575,0.0,6.0,3.0
44,0,train,83,1.827,0.0,6.0,5.0
45,0,train,14,1.687,0.0,2.0,5.0
46,0,train,107,2.325,0.0,6.0,2.0
47,0,train,97,2.855,0.0,5.0,2.0
48,0,train,147,2.714,0.0,1.0,4.0
49,0,train,132,1.318,0.0,6.0,7.0
50,0,train,201,2.623,0.0,6.0,4.0
51,0,train,123,1.276,0.0,5.0,7.0
52,0,train,90,1.596,0.0,1.0,5.0
53,0,train,6,3.248,0.0,6.0,0.0
54,0,train,206,1.433,0.0,1.0,6.0
55,0,train,114,2.805,0.0,5.0,2.0
56,0,train,138,1.569,0.0,2.0,6.0
57,0,train,125,1.269,0.0,2.0,7.0
58,0,train,236,2.707,0.0,6.0,4.0
59,0,train,186,1.832,0.0,4.0,2.0
60,0,train,35,2.373,0.0,2.0,4.0
61,0,train,84,4.444,0.0,4.0,3.0
62,0,train,223,4.481,0.0,4.0,3.0
63,0,train,126,1.869,0.0,4.0,5.0
64,0,train,47,1.494,0.0,2.0,7.0
