,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V152,0.694,0.0,0.0,1.0
1,0,val,V156,0.692,1.0,1.0,1.0
2,0,train,V247,0.926,0.0,1.0,0.0
3,0,train,V163,1.797,0.0,0.0,1.0
4,0,train,V26,0.382,1.0,0.0,0.0
5,0,train,V24,0.335,1.0,0.0,0.0
6,0,train,V128,1.437,0.0,0.0,1.0
7,0,train,V178,0.336,1.0,0.0,0.0
8,0,train,V166,0.346,1.0,0.0,0.0
9,0,train,V71,1.339,0.0,0.0,1.0
10,0,train,V60,0.379,1.0,0.0,0.0
11,0,train,V58,0.428,1.0,0.0,0.0
12,0,train,V147,0.388,1.0,0.0,0.0
13,0,train,V249,0.23,1.0,0.0,0.0
14,0,train,V175,1.513,0.0,0.0,1.0
15,0,train,V27,1.709,0.0,0.0,1.0
16,0,train,V14,0.399,1.0,0.0,0.0
17,0,train,V215,0.472,1.0,0.0,0.0
18,0,train,V66,0.483,1.0,0.0,0.0
19,0,train,V13,0.457,1.0,0.0,0.0
20,0,train,V106,0.376,1.0,0.0,0.0
21,0,train,V103,0.28,1.0,0.0,0.0
22,0,train,V256,0.213,1.0,0.0,0.0
23,0,train,V275,0.123,1.0,0.0,0.0
24,0,train,V83,0.132,1.0,0.0,0.0
25,0,train,V75,3.022,0.0,0.0,1.0
26,0,train,V77,0.14,1.0,0.0,0.0
27,0,train,V241,0.151,1.0,0.0,0.0
28,0,train,V164,1.943,0.0,0.0,1.0
29,0,train,V204,0.187,1.0,0.0,0.0
30,0,train,V206,1.629,0.0,0.0,1.0
31,0,train,V165,1.424,0.0,0.0,1.0
32,0,train,V22,0.349,1.0,0.0,0.0
33,0,train,V108,0.443,1.0,0.0,0.0
34,0,train,V47,1.053,0.0,0.0,1.0
35,0,train,V266,0.55,1.0,0.0,0.0
36,0,train,V34,0.569,1.0,0.0,0.0
37,0,train,V97,0.571,1.0,0.0,0.0
38,0,train,V90,0.571,1.0,0.0,0.0
39,0,train,V68,0.512,1.0,0.0,0.0
40,0,train,V6,0.466,1.0,0.0,0.0
41,0,train,V186,0.4,1.0,0.0,0.0
42,0,train,V5,1.212,0.0,0.0,1.0
43,0,train,V8,0.334,1.0,0.0,0.0
44,0,train,V260,0.293,1.0,0.0,0.0
45,0,train,V54,1.702,0.0,0.0,1.0
46,0,train,V150,0.294,1.0,0.0,0.0
47,0,train,V12,0.295,1.0,0.0,0.0
48,0,train,V191,1.477,0.0,0.0,1.0
49,0,train,V50,0.322,1.0,0.0,0.0
50,0,train,V217,1.313,0.0,0.0,1.0
51,0,train,V37,0.375,1.0,0.0,0.0
52,0,train,V257,1.109,0.0,0.0,1.0
53,0,train,V9,0.426,1.0,0.0,0.0
54,0,train,V64,0.445,1.0,0.0,0.0
55,0,train,V262,0.972,0.0,0.0,1.0
56,0,train,V132,0.929,0.0,0.0,1.0
57,0,train,V15,0.882,0.0,0.0,1.0
58,0,train,V235,0.6,1.0,0.0,0.0
59,0,train,V101,0.66,1.0,0.0,0.0
60,0,train,V176,0.657,1.0,0.0,0.0
61,0,train,V248,0.647,1.0,0.0,0.0
62,0,train,V273,0.75,0.0,0.0,1.0
63,0,train,V172,0.649,1.0,0.0,0.0
64,0,train,V61,0.621,1.0,0.0,0.0
65,0,train,V174,0.77,0.0,0.0,1.0
66,0,train,V123,0.784,0.0,0.0,1.0
67,0,train,V244,0.625,1.0,0.0,0.0
68,0,train,V127,0.763,0.0,0.0,1.0
69,0,train,V138,0.757,0.0,0.0,1.0
70,0,train,V135,0.639,1.0,0.0,0.0
71,0,train,V55,0.612,1.0,0.0,0.0
72,0,train,V255,0.761,0.0,0.0,1.0
73,0,train,V227,0.664,1.0,0.0,0.0
74,0,train,V44,0.637,1.0,0.0,0.0
75,0,train,V62,0.714,0.0,0.0,1.0
76,0,train,V193,0.612,1.0,0.0,0.0
77,0,train,V277,0.693,0.0,1.0,0.0
78,0,train,V35,0.573,1.0,0.0,0.0
79,0,train,V157,0.841,0.0,0.0,1.0
80,0,train,V243,0.854,0.0,0.0,1.0
81,0,train,V113,0.508,1.0,0.0,0.0
82,0,train,V272,0.871,0.0,0.0,1.0
83,0,train,V80,0.6,1.0,0.0,0.0
84,0,train,V70,0.586,1.0,0.0,0.0
85,0,train,V195,0.53,1.0,0.0,0.0
86,0,train,V143,0.878,0.0,0.0,1.0
87,0,train,V46,0.484,1.0,0.0,0.0
88,0,train,V99,0.941,0.0,0.0,1.0
89,0,train,V10,0.477,1.0,0.0,0.0
90,0,train,V102,0.462,1.0,0.0,0.0
91,0,train,V119,0.449,1.0,0.0,0.0
92,0,train,V100,0.453,1.0,0.0,0.0
93,0,train,V230,0.388,1.0,0.0,0.0
94,0,train,V51,1.156,0.0,0.0,1.0
95,0,train,V207,1.2,0.0,0.0,1.0
96,0,train,V192,0.281,1.0,0.0,0.0
97,0,train,V145,1.109,0.0,0.0,1.0
98,0,train,V210,0.419,1.0,0.0,0.0
99,0,train,V38,0.387,1.0,0.0,0.0
100,0,train,V49,1.11,0.0,0.0,1.0
101,0,train,V59,0.433,1.0,0.0,0.0
102,0,train,V253,1.08,0.0,0.0,1.0
103,0,train,V3,0.43,1.0,0.0,0.0
104,0,train,V142,1.012,0.0,0.0,1.0
105,0,train,V226,0.459,1.0,0.0,0.0
106,0,train,V114,0.45,1.0,0.0,0.0
107,0,train,V261,0.975,0.0,0.0,1.0
108,0,train,V122,0.489,1.0,0.0,0.0
109,0,train,V208,0.503,1.0,0.0,0.0
110,0,train,V87,0.489,1.0,0.0,0.0
111,0,train,V36,0.467,1.0,0.0,0.0
112,0,train,V139,0.458,1.0,0.0,0.0
113,0,train,V136,1.01,0.0,0.0,1.0
114,0,train,V170,1.03,0.0,0.0,1.0
