,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,129,3.081,0.0,2.0,4.0
1,0,val,167,1.022,0.0,2.0,7.0
2,0,val,246,5.066,0.0,2.0,3.0
3,0,val,52,1.006,0.0,2.0,7.0
4,0,val,134,1.046,0.0,2.0,7.0
5,0,val,148,2.596,0.0,2.0,5.0
6,0,train,25,3.614,0.0,7.0,1.0
7,0,train,162,0.822,1.0,7.0,7.0
8,0,train,38,3.836,0.0,7.0,0.0
9,0,train,223,5.179,0.0,7.0,3.0
10,0,train,76,3.225,0.0,7.0,1.0
11,0,train,166,3.814,0.0,7.0,0.0
12,0,train,114,2.437,0.0,7.0,2.0
13,0,train,192,1.57,0.0,7.0,4.0
14,0,train,35,1.427,0.0,7.0,4.0
