,epoch,step_label,file_name,losses,accs,preds,Class
0,0,test,V38,2.292,0.0,2.0,0.0
1,0,test,V128,2.587,0.0,2.0,6.0
2,0,test,V82,2.587,0.0,2.0,6.0
3,0,test,V243,2.587,0.0,2.0,6.0
4,0,test,V202,2.587,0.0,2.0,6.0
5,0,test,V269,2.292,0.0,2.0,0.0
6,0,test,V234,1.002,1.0,2.0,2.0
7,0,test,V112,2.139,0.0,2.0,4.0
8,0,test,V132,1.695,0.0,2.0,7.0
9,0,test,V153,2.521,0.0,2.0,5.0
10,0,test,V117,4.681,0.0,2.0,3.0
11,0,test,V156,1.695,0.0,2.0,7.0
12,0,test,V84,4.681,0.0,2.0,3.0
13,0,test,V85,3.39,0.0,2.0,1.0
14,0,test,V62,2.587,0.0,2.0,6.0
15,0,test,V123,1.695,0.0,2.0,7.0
16,0,test,V107,1.002,1.0,2.0,2.0
17,0,test,V242,3.39,0.0,2.0,1.0
18,0,test,V135,2.521,0.0,2.0,5.0
19,0,test,V161,3.39,0.0,2.0,1.0
20,0,test,V113,3.39,0.0,2.0,1.0
21,0,test,V147,2.139,0.0,2.0,4.0
22,0,test,V214,2.139,0.0,2.0,4.0
23,0,test,V80,2.521,0.0,2.0,5.0
24,0,test,V7,2.292,0.0,2.0,0.0
25,0,test,V191,1.695,0.0,2.0,7.0
26,0,test,V200,1.695,0.0,2.0,7.0
27,0,test,V127,1.695,0.0,2.0,7.0
28,0,test,V246,4.681,0.0,2.0,3.0
29,0,test,V167,1.695,0.0,2.0,7.0
30,0,test,V102,2.292,0.0,2.0,0.0
31,0,test,V160,1.695,0.0,2.0,7.0
32,0,test,V193,2.139,0.0,2.0,4.0
33,0,test,V185,1.002,1.0,2.0,2.0
34,0,test,V14,2.521,0.0,2.0,5.0
35,0,test,V254,1.695,0.0,2.0,7.0
36,0,test,V130,2.521,0.0,2.0,5.0
37,0,test,V211,1.002,1.0,2.0,2.0
38,0,test,V150,2.521,0.0,2.0,5.0
39,0,test,V133,2.587,0.0,2.0,6.0
