,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V156,1.452,0.0,3.0,7.0
1,0,val,V43,1.789,0.0,6.0,5.0
2,0,train,V36,3.313,0.0,7.0,2.0
3,0,train,V203,2.371,0.0,7.0,4.0
4,0,train,V153,1.838,0.0,7.0,5.0
5,0,train,V256,1.919,0.0,7.0,5.0
6,0,train,V267,0.858,1.0,7.0,7.0
7,0,train,V248,2.777,0.0,7.0,0.0
8,0,train,V67,1.891,0.0,7.0,5.0
9,0,train,V243,1.904,0.0,7.0,6.0
10,0,train,V236,2.419,0.0,7.0,4.0
11,0,train,V57,2.708,0.0,6.0,0.0
12,0,train,V261,0.97,1.0,7.0,7.0
13,0,train,V66,2.41,0.0,7.0,4.0
14,0,train,V27,1.241,0.0,6.0,7.0
15,0,train,V123,0.917,1.0,7.0,7.0
16,0,train,V275,2.325,0.0,7.0,4.0
17,0,train,V232,2.466,0.0,7.0,1.0
18,0,train,V215,2.402,0.0,3.0,4.0
19,0,train,V45,1.888,0.0,7.0,6.0
20,0,train,V136,1.243,0.0,6.0,7.0
21,0,train,V128,1.787,0.0,7.0,6.0
22,0,train,V113,2.456,0.0,7.0,1.0
23,0,train,V139,2.402,0.0,7.0,1.0
24,0,train,V119,2.591,0.0,7.0,0.0
25,0,train,V87,3.355,0.0,7.0,3.0
26,0,train,V207,1.709,1.0,6.0,6.0
27,0,train,V132,1.159,0.0,6.0,7.0
28,0,train,V124,1.196,0.0,6.0,7.0
29,0,train,V93,2.336,0.0,5.0,1.0
30,0,train,V172,2.454,0.0,3.0,1.0
31,0,train,V95,2.893,0.0,1.0,2.0
32,0,train,V12,2.359,1.0,1.0,1.0
33,0,train,V77,2.258,0.0,7.0,1.0
34,0,train,V38,2.496,0.0,1.0,0.0
35,0,train,V127,1.167,0.0,1.0,7.0
36,0,train,V7,2.435,0.0,1.0,0.0
37,0,train,V166,2.759,0.0,1.0,0.0
38,0,train,V244,2.202,0.0,1.0,4.0
39,0,train,V158,1.9,0.0,1.0,6.0
40,0,train,V233,2.274,0.0,5.0,1.0
41,0,train,V28,0.753,1.0,7.0,7.0
42,0,train,V55,2.553,0.0,3.0,0.0
43,0,train,V186,2.684,0.0,7.0,2.0
44,0,train,V100,2.248,1.0,1.0,1.0
45,0,train,V85,2.188,1.0,1.0,1.0
46,0,train,V49,1.065,1.0,7.0,7.0
47,0,train,V140,2.093,1.0,1.0,1.0
48,0,train,V76,2.387,0.0,6.0,1.0
49,0,train,V178,2.51,0.0,1.0,0.0
50,0,train,V14,1.859,0.0,7.0,5.0
51,0,train,V5,0.983,1.0,7.0,7.0
52,0,train,V160,0.976,1.0,7.0,7.0
53,0,train,V117,4.619,0.0,1.0,3.0
54,0,train,V75,2.39,0.0,7.0,6.0
55,0,train,V44,3.426,0.0,1.0,2.0
56,0,train,V97,3.754,0.0,7.0,2.0
57,0,train,V193,2.492,0.0,1.0,4.0
58,0,train,V230,3.259,0.0,1.0,2.0
59,0,train,V176,3.365,0.0,1.0,3.0
60,0,train,V192,2.445,0.0,1.0,4.0
61,0,train,V22,3.284,0.0,1.0,2.0
62,0,train,V24,1.737,0.0,7.0,1.0
63,0,train,V54,1.789,0.0,1.0,6.0
64,0,train,V74,1.773,0.0,1.0,5.0
65,0,train,V98,4.735,0.0,1.0,3.0
66,0,train,V96,3.387,0.0,7.0,2.0
67,0,train,V235,2.285,0.0,1.0,4.0
68,0,train,V65,1.84,0.0,1.0,5.0
69,0,train,V18,0.767,1.0,7.0,7.0
70,0,train,V122,1.869,0.0,1.0,5.0
71,0,train,V188,1.01,1.0,7.0,7.0
72,0,train,V107,2.766,0.0,7.0,2.0
73,0,train,V142,1.128,1.0,7.0,7.0
74,0,train,V200,0.902,1.0,7.0,7.0
75,0,train,V253,1.162,0.0,1.0,7.0
76,0,train,V255,1.087,1.0,7.0,7.0
77,0,train,V208,1.707,0.0,7.0,5.0
78,0,train,V39,0.894,1.0,7.0,7.0
79,0,train,V51,0.833,1.0,7.0,7.0
80,0,train,V104,2.866,0.0,7.0,2.0
81,0,train,V227,2.663,0.0,1.0,2.0
82,0,train,V240,1.793,0.0,7.0,6.0
83,0,train,V105,2.501,0.0,1.0,2.0
84,0,train,V182,1.908,0.0,7.0,5.0
85,0,train,V84,4.213,0.0,1.0,3.0
86,0,train,V37,2.55,0.0,7.0,0.0
87,0,train,V171,2.245,0.0,6.0,4.0
88,0,train,V204,3.418,0.0,1.0,3.0
89,0,train,V260,1.767,0.0,1.0,5.0
90,0,train,V102,2.535,1.0,0.0,0.0
91,0,train,V218,1.854,0.0,7.0,6.0
92,0,train,V131,2.666,0.0,7.0,0.0
93,0,train,V217,1.986,0.0,7.0,6.0
94,0,train,V46,2.333,1.0,1.0,1.0
95,0,train,V206,1.658,0.0,7.0,6.0
96,0,train,V40,0.727,1.0,7.0,7.0
97,0,train,V241,2.445,0.0,7.0,4.0
98,0,train,V61,1.861,0.0,7.0,5.0
99,0,train,V114,3.163,0.0,7.0,2.0
100,0,train,V272,1.763,0.0,1.0,6.0
101,0,train,V10,2.627,0.0,1.0,0.0
102,0,train,V262,1.1,1.0,7.0,7.0
103,0,train,V80,1.877,0.0,7.0,5.0
