,epoch,step_label,file_name,losses,accs,preds,Class
0,120,test,V3,0.003,1.0,0.0,0.0
1,120,test,V6,0.04,1.0,0.0,0.0
2,120,test,V8,0.123,1.0,1.0,1.0
3,120,test,V14,3.58,0.0,0.0,1.0
4,120,test,V18,3.958,0.0,0.0,1.0
5,120,test,V22,0.003,1.0,0.0,0.0
6,120,test,V27,5.27,0.0,0.0,1.0
7,120,test,V41,1.919,0.0,0.0,1.0
8,120,test,V42,0.471,1.0,0.0,0.0
9,120,test,V44,0.135,1.0,0.0,0.0
10,120,test,V46,0.339,1.0,0.0,0.0
11,120,test,V47,0.308,1.0,1.0,1.0
12,120,test,V70,0.013,1.0,0.0,0.0
13,120,test,V83,4.678,0.0,0.0,1.0
14,120,test,V91,4.434,0.0,0.0,1.0
15,120,test,V93,0.068,1.0,0.0,0.0
16,120,test,V97,0.012,1.0,0.0,0.0
17,120,test,V111,0.433,1.0,1.0,1.0
18,120,test,V116,0.759,0.0,1.0,0.0
19,120,test,V124,3.69,0.0,0.0,1.0
20,120,test,V126,4.971,0.0,0.0,1.0
21,120,test,V127,5.211,0.0,0.0,1.0
22,120,test,V136,3.755,0.0,0.0,1.0
23,120,test,V139,0.554,1.0,0.0,0.0
24,120,test,V140,0.016,1.0,0.0,0.0
25,120,test,V143,3.401,0.0,0.0,1.0
26,120,test,V148,3.93,0.0,0.0,1.0
27,120,test,V155,10.768,0.0,0.0,1.0
28,120,test,V170,5.152,0.0,0.0,1.0
29,120,test,V185,0.015,1.0,0.0,0.0
30,120,test,V195,0.368,1.0,0.0,0.0
31,120,test,V197,1.179,0.0,0.0,1.0
32,120,test,V201,2.753,0.0,0.0,1.0
33,120,test,V207,2.18,0.0,0.0,1.0
34,120,test,V214,3.891,0.0,0.0,1.0
35,120,test,V215,1.708,0.0,0.0,1.0
36,120,test,V218,0.856,0.0,0.0,1.0
37,120,test,V234,0.04,1.0,0.0,0.0
38,120,test,V266,0.197,1.0,0.0,0.0
39,120,test,V274,2.285,0.0,0.0,1.0
