,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V1,0.757,0.0,0.0,1.0
1,0,val,V12,0.634,1.0,0.0,0.0
2,0,train,V167,0.731,0.0,0.0,1.0
3,0,train,V182,0.721,0.0,0.0,1.0
4,0,train,V179,0.654,1.0,0.0,0.0
5,0,train,V138,0.76,0.0,0.0,1.0
6,0,train,V252,0.722,0.0,0.0,1.0
7,0,train,V134,0.724,0.0,0.0,1.0
8,0,train,V254,0.754,0.0,0.0,1.0
9,0,train,V249,0.74,0.0,0.0,1.0
10,0,train,V147,0.739,0.0,0.0,1.0
11,0,train,V173,0.659,1.0,0.0,0.0
12,0,train,V94,0.725,0.0,0.0,1.0
13,0,train,V68,0.664,1.0,0.0,0.0
14,0,train,V71,0.751,0.0,0.0,1.0
15,0,train,V96,0.663,1.0,0.0,0.0
16,0,train,V117,0.664,1.0,0.0,0.0
17,0,train,V50,0.644,1.0,0.0,0.0
18,0,train,V90,0.12,1.0,1.0,1.0
19,0,train,V54,0.118,1.0,1.0,1.0
20,0,train,V4,0.118,1.0,1.0,1.0
21,0,train,V183,2.207,0.0,1.0,0.0
22,0,train,V48,0.119,1.0,1.0,1.0
23,0,train,V132,0.115,1.0,1.0,1.0
24,0,train,V217,0.114,1.0,1.0,1.0
25,0,train,V101,2.224,0.0,1.0,0.0
26,0,train,V37,2.209,0.0,1.0,0.0
27,0,train,V164,0.116,1.0,1.0,1.0
28,0,train,V40,0.12,1.0,1.0,1.0
29,0,train,V103,0.116,1.0,1.0,1.0
30,0,train,V142,0.118,1.0,1.0,1.0
31,0,train,V58,0.119,1.0,1.0,1.0
32,0,train,V244,0.117,1.0,1.0,1.0
33,0,train,V176,2.233,0.0,1.0,0.0
34,0,train,V66,0.153,1.0,1.0,1.0
35,0,train,V172,1.948,0.0,1.0,0.0
36,0,train,V28,0.154,1.0,1.0,1.0
37,0,train,V119,1.956,0.0,1.0,0.0
38,0,train,V110,0.153,1.0,1.0,1.0
39,0,train,V198,0.155,1.0,1.0,1.0
