,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V112,2.291,0.0,5.0,4.0
1,0,val,V11,2.167,0.0,5.0,2.0
2,0,train,V221,2.705,0.0,5.0,3.0
3,0,train,V210,2.555,0.0,3.0,4.0
4,0,train,V70,3.162,0.0,3.0,0.0
5,0,train,V64,2.095,0.0,3.0,4.0
6,0,train,V174,3.008,0.0,3.0,6.0
7,0,train,V60,2.745,0.0,3.0,0.0
8,0,train,V166,2.545,0.0,3.0,0.0
9,0,train,V5,1.484,0.0,3.0,7.0
10,0,train,V97,2.826,0.0,4.0,2.0
11,0,train,V226,1.982,0.0,4.0,5.0
12,0,train,V189,1.975,0.0,0.0,5.0
13,0,train,V58,1.847,0.0,4.0,5.0
14,0,train,V100,3.316,0.0,0.0,1.0
15,0,train,V191,1.469,0.0,0.0,7.0
16,0,train,V45,2.633,0.0,0.0,6.0
17,0,train,V176,3.229,0.0,0.0,3.0
18,0,train,V78,2.265,0.0,0.0,4.0
19,0,train,V212,2.37,0.0,0.0,4.0
20,0,train,V264,2.272,0.0,0.0,6.0
21,0,train,V243,2.2,0.0,0.0,6.0
22,0,train,V248,2.094,1.0,0.0,0.0
23,0,train,V50,2.785,0.0,0.0,2.0
24,0,train,V139,2.976,0.0,0.0,1.0
25,0,train,V27,1.454,0.0,0.0,7.0
26,0,train,V260,1.746,0.0,0.0,5.0
27,0,train,V200,1.373,0.0,0.0,7.0
28,0,train,V145,1.391,0.0,0.0,7.0
29,0,train,V83,1.617,0.0,0.0,5.0
30,0,train,V201,2.094,1.0,4.0,4.0
31,0,train,V23,1.275,0.0,0.0,7.0
32,0,train,V65,1.62,0.0,0.0,5.0
33,0,train,V195,2.741,0.0,4.0,2.0
34,0,train,V57,2.555,0.0,5.0,0.0
35,0,train,V150,1.632,0.0,4.0,5.0
36,0,train,V119,2.447,0.0,5.0,0.0
37,0,train,V12,2.923,0.0,4.0,1.0
38,0,train,V42,2.741,0.0,5.0,2.0
39,0,train,V76,2.719,0.0,5.0,1.0
40,0,train,V128,2.0,0.0,5.0,6.0
41,0,train,V101,2.183,0.0,5.0,0.0
42,0,train,V267,1.321,0.0,5.0,7.0
43,0,train,V231,2.569,0.0,5.0,1.0
44,0,train,V157,1.334,0.0,5.0,7.0
45,0,train,V182,1.494,0.0,0.0,5.0
46,0,train,V93,2.392,0.0,0.0,1.0
47,0,train,V67,1.429,1.0,5.0,5.0
48,0,train,V149,1.422,0.0,0.0,7.0
49,0,train,V74,1.437,0.0,0.0,5.0
50,0,train,V247,4.519,0.0,5.0,3.0
51,0,train,V143,2.113,0.0,5.0,6.0
52,0,train,V99,2.057,0.0,5.0,6.0
53,0,train,V84,4.393,0.0,5.0,3.0
54,0,train,V209,1.973,0.0,5.0,6.0
55,0,train,V160,1.362,0.0,5.0,7.0
56,0,train,V39,1.331,0.0,5.0,7.0
57,0,train,V120,1.375,0.0,5.0,7.0
58,0,train,V80,1.43,1.0,5.0,5.0
59,0,train,V199,1.283,0.0,5.0,7.0
60,0,train,V66,2.94,0.0,1.0,4.0
61,0,train,V77,2.064,1.0,1.0,1.0
62,0,train,V255,1.177,0.0,5.0,7.0
63,0,train,V47,1.21,0.0,1.0,7.0
64,0,train,V216,3.053,0.0,5.0,2.0
65,0,train,V103,1.52,1.0,5.0,5.0
66,0,train,V171,2.759,0.0,5.0,4.0
67,0,train,V204,3.516,0.0,5.0,3.0
68,0,train,V272,1.855,0.0,5.0,6.0
69,0,train,V227,2.796,0.0,7.0,2.0
70,0,train,V49,1.087,1.0,7.0,7.0
71,0,train,V116,3.288,0.0,7.0,3.0
72,0,train,V18,1.073,1.0,7.0,7.0
73,0,train,V192,2.442,0.0,7.0,4.0
74,0,train,V6,2.923,0.0,7.0,0.0
75,0,train,V110,1.675,0.0,7.0,5.0
76,0,train,V98,2.855,1.0,3.0,3.0
77,0,train,V55,2.875,0.0,7.0,0.0
78,0,train,V94,2.024,0.0,3.0,6.0
79,0,train,V153,1.771,0.0,3.0,5.0
80,0,train,V142,1.056,1.0,7.0,7.0
81,0,train,V90,1.733,0.0,3.0,5.0
82,0,train,V96,2.623,0.0,3.0,2.0
83,0,train,V46,2.762,0.0,3.0,1.0
84,0,train,V127,1.059,1.0,7.0,7.0
85,0,train,V102,2.68,0.0,3.0,0.0
86,0,train,V75,1.986,0.0,3.0,6.0
87,0,train,V163,2.134,0.0,3.0,6.0
88,0,train,V117,2.478,1.0,3.0,3.0
89,0,train,V26,1.678,0.0,3.0,5.0
90,0,train,V186,2.477,0.0,3.0,2.0
91,0,train,V56,1.967,0.0,3.0,6.0
92,0,train,V138,2.001,0.0,3.0,6.0
93,0,train,V266,2.515,0.0,3.0,2.0
94,0,train,V206,1.907,0.0,3.0,6.0
95,0,train,V158,1.948,0.0,3.0,6.0
96,0,train,V208,1.656,0.0,3.0,5.0
97,0,train,V261,1.328,0.0,3.0,7.0
98,0,train,V175,1.294,0.0,3.0,7.0
99,0,train,V105,2.21,0.0,6.0,2.0
100,0,train,V8,1.651,0.0,3.0,5.0
101,0,train,V36,2.079,0.0,6.0,2.0
102,0,train,V107,2.034,0.0,3.0,2.0
103,0,train,V277,2.98,0.0,6.0,3.0
104,0,train,V34,3.263,0.0,2.0,3.0
105,0,train,V9,1.809,0.0,2.0,5.0
106,0,train,V124,1.438,0.0,3.0,7.0
107,0,train,V164,1.401,0.0,2.0,7.0
108,0,train,V262,1.422,0.0,2.0,7.0
109,0,train,V13,1.577,1.0,2.0,2.0
110,0,train,V44,1.622,1.0,2.0,2.0
111,0,train,V59,3.21,0.0,2.0,4.0
112,0,train,V35,3.14,0.0,2.0,4.0
113,0,train,V147,2.952,0.0,2.0,4.0
114,0,train,V135,1.748,0.0,2.0,5.0
115,0,train,V193,2.881,0.0,2.0,4.0
116,0,train,V178,3.165,0.0,2.0,0.0
117,0,train,V241,2.643,0.0,2.0,4.0
118,0,train,V188,1.373,0.0,2.0,7.0
119,0,train,V123,1.253,0.0,2.0,7.0
120,0,train,V51,1.208,0.0,2.0,7.0
121,0,train,V71,2.053,0.0,2.0,6.0
122,0,train,V155,1.854,0.0,2.0,5.0
123,0,train,V233,3.548,0.0,2.0,1.0
124,0,train,V275,2.01,0.0,2.0,4.0
125,0,train,V62,1.988,0.0,2.0,6.0
126,0,train,V131,3.214,0.0,2.0,0.0
127,0,train,V240,1.982,0.0,2.0,6.0
128,0,train,V114,1.912,0.0,4.0,2.0
129,0,train,V230,1.973,1.0,2.0,2.0
130,0,train,V122,1.774,0.0,4.0,5.0
131,0,train,V104,1.933,0.0,4.0,2.0
132,0,train,V251,1.912,1.0,2.0,2.0
133,0,train,V126,1.826,0.0,2.0,5.0
134,0,train,V24,3.475,0.0,4.0,1.0
135,0,train,V245,3.941,0.0,2.0,3.0
136,0,train,V236,1.99,0.0,2.0,4.0
137,0,train,V137,1.194,0.0,2.0,7.0
138,0,train,V40,1.218,0.0,2.0,7.0
139,0,train,V273,1.905,0.0,2.0,6.0
140,0,train,V249,1.99,0.0,2.0,4.0
141,0,train,V38,2.941,0.0,2.0,0.0
142,0,train,V68,2.891,0.0,2.0,0.0
143,0,train,V7,2.869,0.0,2.0,0.0
144,0,train,V232,3.116,0.0,2.0,1.0
145,0,train,V172,3.066,0.0,4.0,1.0
146,0,train,V136,1.259,0.0,2.0,7.0
147,0,train,V215,2.026,1.0,4.0,4.0
148,0,train,V10,2.835,0.0,4.0,0.0
149,0,train,V87,3.781,0.0,4.0,3.0
150,0,train,V162,1.235,0.0,4.0,7.0
151,0,train,V244,2.17,0.0,2.0,4.0
152,0,train,V217,1.931,0.0,2.0,6.0
153,0,train,V132,1.106,0.0,4.0,7.0
154,0,train,V276,3.599,0.0,4.0,3.0
155,0,train,V253,1.204,0.0,4.0,7.0
156,0,train,V108,2.824,0.0,4.0,1.0
157,0,train,V140,2.708,0.0,4.0,1.0
158,0,train,V223,3.411,0.0,4.0,3.0
159,0,train,V85,2.643,0.0,4.0,1.0
160,0,train,V203,2.135,1.0,4.0,4.0
161,0,train,V22,2.408,0.0,4.0,2.0
162,0,train,V257,1.161,0.0,4.0,7.0
163,0,train,V165,1.88,0.0,4.0,6.0
164,0,train,V15,1.206,0.0,4.0,7.0
165,0,train,V113,2.561,0.0,4.0,1.0
166,0,train,V235,2.157,1.0,4.0,4.0
167,0,train,V28,1.223,0.0,4.0,7.0
168,0,train,V125,1.189,0.0,4.0,7.0
169,0,train,V14,2.021,0.0,4.0,5.0
170,0,train,V207,1.896,0.0,3.0,6.0
171,0,train,V20,2.426,0.0,7.0,1.0
172,0,train,V54,1.782,0.0,7.0,6.0
173,0,train,V25,2.361,0.0,4.0,1.0
174,0,train,V3,2.768,0.0,1.0,0.0
175,0,train,V170,1.118,1.0,7.0,7.0
176,0,train,V256,1.97,0.0,1.0,5.0
177,0,train,V61,1.933,0.0,1.0,5.0
178,0,train,V218,1.73,0.0,1.0,6.0
179,0,train,V95,3.199,0.0,1.0,2.0
