,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V269,3.295,0.0,7.0,0.0
1,0,val,V17,2.37,0.0,7.0,5.0
2,0,train,V162,1.861,0.0,2.0,7.0
3,0,train,V135,2.634,0.0,2.0,5.0
4,0,train,V276,3.602,0.0,2.0,3.0
5,0,train,V208,2.39,0.0,3.0,5.0
6,0,train,V114,2.001,0.0,3.0,2.0
7,0,train,V90,2.38,0.0,3.0,5.0
8,0,train,V175,1.326,0.0,2.0,7.0
9,0,train,V192,3.143,0.0,2.0,4.0
10,0,train,V136,1.232,0.0,2.0,7.0
11,0,train,V125,1.123,0.0,2.0,7.0
12,0,train,V25,2.574,0.0,7.0,1.0
13,0,train,V24,3.116,0.0,2.0,1.0
14,0,train,V77,3.209,0.0,2.0,1.0
15,0,train,V87,4.513,0.0,2.0,3.0
16,0,train,V102,3.382,0.0,2.0,0.0
17,0,train,V128,2.489,0.0,1.0,6.0
18,0,train,V55,3.455,0.0,2.0,0.0
19,0,train,V80,2.318,0.0,1.0,5.0
20,0,train,V13,2.843,0.0,1.0,2.0
21,0,train,V70,3.176,0.0,2.0,0.0
22,0,train,V221,3.53,0.0,1.0,3.0
23,0,train,V241,3.033,0.0,2.0,4.0
24,0,train,V132,1.216,1.0,7.0,7.0
25,0,train,V139,2.422,0.0,3.0,1.0
26,0,train,V244,2.368,0.0,1.0,4.0
27,0,train,V46,3.138,0.0,2.0,1.0
28,0,train,V272,2.376,0.0,2.0,6.0
29,0,train,V210,2.366,0.0,1.0,4.0
30,0,train,V203,2.37,0.0,2.0,4.0
31,0,train,V83,1.824,0.0,2.0,5.0
32,0,train,V23,1.224,0.0,3.0,7.0
33,0,train,V45,2.395,0.0,2.0,6.0
34,0,train,V51,1.323,0.0,3.0,7.0
35,0,train,V28,1.244,0.0,3.0,7.0
36,0,train,V233,2.446,0.0,3.0,1.0
37,0,train,V49,1.544,0.0,2.0,7.0
38,0,train,V95,2.366,0.0,3.0,2.0
39,0,train,V174,1.871,0.0,7.0,6.0
40,0,train,V212,2.895,0.0,2.0,4.0
41,0,train,V100,2.441,1.0,1.0,1.0
42,0,train,V216,2.366,0.0,1.0,2.0
43,0,train,V261,1.312,0.0,2.0,7.0
44,0,train,V200,1.224,0.0,1.0,7.0
45,0,train,V78,2.366,0.0,1.0,4.0
46,0,train,V240,1.868,0.0,1.0,6.0
47,0,train,V264,1.868,0.0,1.0,6.0
48,0,train,V103,1.82,0.0,1.0,5.0
49,0,train,V14,1.858,0.0,2.0,5.0
50,0,train,V165,2.067,0.0,7.0,6.0
51,0,train,V27,1.223,0.0,1.0,7.0
52,0,train,V186,2.366,0.0,1.0,2.0
53,0,train,V104,2.365,1.0,2.0,2.0
54,0,train,V97,2.366,0.0,1.0,2.0
55,0,train,V65,1.822,0.0,1.0,5.0
56,0,train,V61,1.822,0.0,1.0,5.0
57,0,train,V230,2.366,0.0,1.0,2.0
58,0,train,V243,1.87,0.0,3.0,6.0
59,0,train,V96,2.365,1.0,2.0,2.0
60,0,train,V85,2.447,0.0,7.0,1.0
61,0,train,V60,2.535,0.0,1.0,0.0
62,0,train,V127,1.218,1.0,7.0,7.0
63,0,train,V50,2.365,0.0,7.0,2.0
64,0,train,V217,1.868,0.0,7.0,6.0
65,0,train,V117,3.38,0.0,1.0,3.0
66,0,train,V164,1.225,0.0,1.0,7.0
67,0,train,V257,1.223,1.0,7.0,7.0
68,0,train,V138,1.875,0.0,3.0,6.0
69,0,train,V143,1.885,0.0,7.0,6.0
70,0,train,V9,1.821,0.0,1.0,5.0
71,0,train,V58,1.821,0.0,1.0,5.0
72,0,train,V59,2.365,0.0,7.0,4.0
73,0,train,V93,2.446,0.0,7.0,1.0
74,0,train,V155,1.82,0.0,7.0,5.0
75,0,train,V262,1.223,1.0,7.0,7.0
76,0,train,V10,2.534,0.0,7.0,0.0
77,0,train,V37,2.535,0.0,7.0,0.0
78,0,train,V5,1.226,0.0,3.0,7.0
79,0,train,V94,1.869,0.0,7.0,6.0
80,0,train,V253,1.177,1.0,7.0,7.0
81,0,train,V235,2.368,0.0,1.0,4.0
82,0,train,V74,1.82,0.0,1.0,5.0
83,0,train,V247,3.391,0.0,7.0,3.0
84,0,train,V236,2.366,0.0,1.0,4.0
85,0,train,V67,2.239,0.0,7.0,5.0
86,0,train,V105,2.362,0.0,7.0,2.0
87,0,train,V36,2.369,0.0,7.0,2.0
88,0,train,V54,1.869,0.0,2.0,6.0
89,0,train,V267,1.226,0.0,2.0,7.0
90,0,train,V99,1.868,0.0,1.0,6.0
91,0,train,V131,2.535,0.0,2.0,0.0
92,0,train,V204,3.379,0.0,2.0,3.0
93,0,train,V12,2.43,1.0,1.0,1.0
94,0,train,V40,1.225,0.0,1.0,7.0
95,0,train,V245,3.38,0.0,2.0,3.0
96,0,train,V207,1.871,0.0,1.0,6.0
97,0,train,V39,1.224,0.0,2.0,7.0
98,0,train,V256,1.82,0.0,2.0,5.0
99,0,train,V249,2.37,0.0,2.0,4.0
100,0,train,V71,1.875,0.0,1.0,6.0
101,0,train,V206,1.869,0.0,1.0,6.0
102,0,train,V170,1.225,0.0,1.0,7.0
103,0,train,V75,1.869,0.0,1.0,6.0
104,0,train,V35,2.367,0.0,1.0,4.0
105,0,train,V76,2.447,0.0,2.0,1.0
106,0,train,V153,1.82,0.0,2.0,5.0
107,0,train,V18,1.224,0.0,1.0,7.0
108,0,train,V158,1.868,0.0,2.0,6.0
109,0,train,V38,2.535,0.0,1.0,0.0
110,0,train,V20,2.445,1.0,1.0,1.0
111,0,train,V171,2.367,0.0,1.0,4.0
112,0,train,V123,1.229,0.0,1.0,7.0
