,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V3,1.61,0.0,1.0,0.0
1,0,val,V6,1.567,0.0,1.0,0.0
2,0,train,V35,1.634,0.0,1.0,0.0
3,0,train,V101,0.262,1.0,0.0,0.0
4,0,train,V154,0.182,1.0,0.0,0.0
5,0,train,V85,0.497,1.0,0.0,0.0
6,0,train,V181,0.272,1.0,0.0,0.0
7,0,train,V7,0.098,1.0,0.0,0.0
8,0,train,V263,2.775,0.0,0.0,1.0
9,0,train,V130,0.114,1.0,0.0,0.0
10,0,train,V58,0.098,1.0,0.0,0.0
11,0,train,V125,3.024,0.0,0.0,1.0
12,0,train,V127,3.024,0.0,0.0,1.0
13,0,train,V271,0.099,1.0,0.0,0.0
14,0,train,V243,2.957,0.0,0.0,1.0
15,0,train,V266,0.098,1.0,0.0,0.0
16,0,train,V116,0.098,1.0,0.0,0.0
17,0,train,V94,3.008,0.0,0.0,1.0
18,0,train,V172,0.098,1.0,0.0,0.0
19,0,train,V51,0.504,1.0,1.0,1.0
20,0,train,V261,1.998,0.0,0.0,1.0
21,0,train,V186,1.574,0.0,1.0,0.0
22,0,train,V219,0.098,1.0,0.0,0.0
23,0,train,V63,0.537,0.0,1.0,0.0
24,0,train,V189,0.214,1.0,0.0,0.0
25,0,train,V17,0.535,0.0,1.0,0.0
26,0,train,V45,2.48,0.0,0.0,1.0
27,0,train,V25,1.64,0.0,1.0,0.0
28,0,train,V155,1.64,0.0,1.0,0.0
29,0,train,V240,0.224,1.0,1.0,1.0
30,0,train,V121,0.182,1.0,1.0,1.0
31,0,train,V37,1.603,0.0,1.0,0.0
32,0,train,V234,1.64,0.0,1.0,0.0
33,0,train,V13,1.157,0.0,1.0,0.0
34,0,train,V71,0.184,1.0,1.0,1.0
35,0,train,V28,0.18,1.0,1.0,1.0
36,0,train,V225,1.632,0.0,1.0,0.0
37,0,train,V183,1.638,0.0,1.0,0.0
38,0,train,V233,1.64,0.0,1.0,0.0
39,0,train,V91,1.64,0.0,1.0,0.0
40,0,train,V16,0.535,1.0,0.0,0.0
41,0,train,V46,1.64,0.0,1.0,0.0
42,0,train,V97,1.64,0.0,1.0,0.0
43,0,train,V267,0.18,1.0,1.0,1.0
44,0,train,V232,1.64,0.0,1.0,0.0
45,0,train,V115,0.535,0.0,1.0,0.0
46,0,train,V187,0.18,1.0,1.0,1.0
47,0,train,V256,0.535,0.0,1.0,0.0
48,0,train,V10,1.64,0.0,1.0,0.0
49,0,train,V96,1.64,0.0,1.0,0.0
50,0,train,V164,0.986,0.0,0.0,1.0
51,0,train,V161,0.744,0.0,1.0,0.0
52,0,train,V76,0.535,0.0,1.0,0.0
53,0,train,V120,0.18,1.0,1.0,1.0
54,0,train,V81,0.535,0.0,1.0,0.0
55,0,train,V114,1.64,0.0,1.0,0.0
56,0,train,V89,1.64,0.0,1.0,0.0
57,0,train,V47,0.69,1.0,1.0,1.0
58,0,train,V252,0.986,1.0,1.0,1.0
59,0,train,V103,1.64,0.0,1.0,0.0
60,0,train,V137,0.18,1.0,1.0,1.0
61,0,train,V220,1.64,0.0,1.0,0.0
62,0,train,V218,0.181,1.0,1.0,1.0
63,0,train,V93,0.535,0.0,1.0,0.0
64,0,train,V204,1.64,0.0,1.0,0.0
65,0,train,V122,1.64,0.0,1.0,0.0
66,0,train,V75,0.18,1.0,1.0,1.0
67,0,train,V158,0.986,0.0,0.0,1.0
68,0,train,V95,1.64,0.0,1.0,0.0
69,0,train,V269,1.638,0.0,1.0,0.0
70,0,train,V173,1.64,0.0,1.0,0.0
71,0,train,V23,0.18,1.0,1.0,1.0
72,0,train,V193,0.535,0.0,1.0,0.0
73,0,train,V124,0.982,1.0,1.0,1.0
74,0,train,V207,0.18,1.0,1.0,1.0
75,0,train,V150,0.535,1.0,0.0,0.0
76,0,train,V40,0.861,1.0,1.0,1.0
77,0,train,V200,0.18,1.0,1.0,1.0
78,0,train,V208,1.64,0.0,1.0,0.0
79,0,train,V111,0.986,1.0,1.0,1.0
80,0,train,V27,0.18,1.0,1.0,1.0
81,0,train,V251,1.64,0.0,1.0,0.0
82,0,train,V105,1.558,0.0,1.0,0.0
83,0,train,V184,0.984,1.0,1.0,1.0
84,0,train,V260,0.535,0.0,1.0,0.0
85,0,train,V107,1.64,0.0,1.0,0.0
86,0,train,V80,1.633,0.0,1.0,0.0
87,0,train,V19,0.535,1.0,0.0,0.0
88,0,train,V69,0.535,1.0,0.0,0.0
89,0,train,V22,0.535,0.0,1.0,0.0
90,0,train,V214,0.536,0.0,1.0,0.0
91,0,train,V77,0.535,0.0,1.0,0.0
92,0,train,V248,0.535,1.0,0.0,0.0
93,0,train,V11,0.536,0.0,1.0,0.0
94,0,train,V237,0.534,1.0,0.0,0.0
95,0,train,V159,0.535,1.0,0.0,0.0
96,0,train,V227,0.535,0.0,1.0,0.0
97,0,train,V185,0.535,1.0,0.0,0.0
98,0,train,V268,0.535,1.0,0.0,0.0
99,0,train,V196,0.535,0.0,1.0,0.0
100,0,train,V12,0.535,0.0,1.0,0.0
101,0,train,V36,0.535,0.0,1.0,0.0
102,0,train,V49,0.986,0.0,0.0,1.0
103,0,train,V86,0.535,1.0,0.0,0.0
104,0,train,V180,0.986,0.0,0.0,1.0
105,0,train,V88,0.986,1.0,1.0,1.0
106,0,train,V226,0.523,1.0,0.0,0.0
107,0,train,V239,0.529,1.0,0.0,0.0
108,0,train,V74,0.535,0.0,1.0,0.0
109,0,train,V8,0.514,1.0,0.0,0.0
110,0,train,V132,0.986,0.0,0.0,1.0
111,0,train,V221,0.535,0.0,1.0,0.0
112,0,train,V134,3.024,0.0,0.0,1.0
