,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V168,2.039,0.0,0.0,1.0
1,0,val,V238,0.442,1.0,0.0,0.0
2,0,train,V42,0.517,1.0,0.0,0.0
3,0,train,V186,-0.0,1.0,0.0,0.0
4,0,train,V40,105.352,0.0,0.0,1.0
5,0,train,V26,-0.0,1.0,0.0,0.0
6,0,train,V201,-0.0,1.0,0.0,0.0
7,0,train,V189,0.003,1.0,0.0,0.0
8,0,train,V125,0.001,1.0,1.0,1.0
9,0,train,V71,-0.0,1.0,1.0,1.0
10,0,train,V209,-0.0,1.0,1.0,1.0
11,0,train,V175,-0.0,1.0,1.0,1.0
12,0,train,V44,25.373,0.0,1.0,0.0
13,0,train,V56,-0.0,1.0,1.0,1.0
14,0,train,V22,14.804,0.0,1.0,0.0
15,0,train,V93,13.745,0.0,1.0,0.0
16,0,train,V64,-0.0,1.0,0.0,0.0
17,0,train,V207,50.395,0.0,0.0,1.0
18,0,train,V47,32.283,0.0,0.0,1.0
19,0,train,V235,0.006,1.0,0.0,0.0
20,0,train,V170,6.775,0.0,0.0,1.0
21,0,train,V260,0.754,0.0,1.0,0.0
22,0,train,V264,0.0,1.0,1.0,1.0
23,0,train,V149,0.001,1.0,1.0,1.0
24,0,train,V163,-0.0,1.0,1.0,1.0
25,0,train,V132,0.0,1.0,1.0,1.0
26,0,train,V256,19.727,0.0,1.0,0.0
27,0,train,V200,-0.0,1.0,1.0,1.0
28,0,train,V217,0.0,1.0,1.0,1.0
29,0,train,V49,0.0,1.0,1.0,1.0
30,0,train,V67,16.61,0.0,1.0,0.0
31,0,train,V110,22.908,0.0,1.0,0.0
32,0,train,V131,16.526,0.0,1.0,0.0
33,0,train,V147,3.569,0.0,1.0,0.0
34,0,train,V85,8.828,0.0,1.0,0.0
35,0,train,V210,0.012,1.0,0.0,0.0
36,0,train,V195,0.0,1.0,0.0,0.0
37,0,train,V171,0.0,1.0,0.0,0.0
38,0,train,V233,-0.0,1.0,0.0,0.0
39,0,train,V240,36.398,0.0,0.0,1.0
40,0,train,V59,-0.0,1.0,0.0,0.0
41,0,train,V261,26.101,0.0,0.0,1.0
42,0,train,V34,0.0,1.0,0.0,0.0
43,0,train,V80,-0.0,1.0,0.0,0.0
44,0,train,V15,25.955,0.0,0.0,1.0
45,0,train,V113,0.0,1.0,0.0,0.0
46,0,train,V127,12.538,0.0,0.0,1.0
47,0,train,V39,4.398,0.0,0.0,1.0
48,0,train,V38,0.041,1.0,0.0,0.0
49,0,train,V162,0.569,1.0,1.0,1.0
50,0,train,V221,7.032,0.0,1.0,0.0
51,0,train,V178,3.928,0.0,1.0,0.0
52,0,train,V55,4.969,0.0,1.0,0.0
53,0,train,V25,5.639,0.0,1.0,0.0
54,0,train,V255,0.004,1.0,1.0,1.0
55,0,train,V77,5.319,0.0,1.0,0.0
56,0,train,V165,0.011,1.0,1.0,1.0
57,0,train,V20,8.637,0.0,1.0,0.0
58,0,train,V277,3.817,0.0,1.0,0.0
59,0,train,V137,2.14,0.0,0.0,1.0
60,0,train,V18,2.796,0.0,0.0,1.0
61,0,train,V275,0.321,1.0,0.0,0.0
62,0,train,V245,0.259,1.0,0.0,0.0
63,0,train,V106,0.03,1.0,0.0,0.0
64,0,train,V66,0.755,0.0,1.0,0.0
65,0,train,V176,0.026,1.0,0.0,0.0
66,0,train,V248,2.161,0.0,1.0,0.0
67,0,train,V273,6.598,0.0,0.0,1.0
68,0,train,V84,0.023,1.0,0.0,0.0
69,0,train,V126,0.037,1.0,0.0,0.0
70,0,train,V46,0.054,1.0,0.0,0.0
71,0,train,V97,0.184,1.0,0.0,0.0
72,0,train,V135,1.185,0.0,1.0,0.0
73,0,train,V65,0.521,1.0,0.0,0.0
74,0,train,V272,4.999,0.0,0.0,1.0
75,0,train,V253,1.569,0.0,0.0,1.0
76,0,train,V14,0.127,1.0,0.0,0.0
77,0,train,V6,0.455,1.0,0.0,0.0
78,0,train,V104,0.22,1.0,0.0,0.0
79,0,train,V95,0.781,0.0,1.0,0.0
80,0,train,V87,0.232,1.0,0.0,0.0
81,0,train,V58,0.61,0.0,1.0,0.0
82,0,train,V27,2.798,0.0,0.0,1.0
83,0,train,V28,0.95,1.0,1.0,1.0
