,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V131,2.401,0.0,7.0,0.0
1,0,val,V10,2.486,0.0,7.0,0.0
2,0,train,V154,1.969,0.0,7.0,5.0
3,0,train,V268,2.148,0.0,7.0,0.0
4,0,train,V249,2.958,0.0,7.0,4.0
5,0,train,V210,2.9,0.0,7.0,4.0
6,0,train,V169,1.346,1.0,7.0,7.0
7,0,train,V166,2.304,0.0,7.0,0.0
8,0,train,V139,2.154,0.0,7.0,1.0
9,0,train,V136,1.283,1.0,7.0,7.0
10,0,train,V212,2.849,0.0,7.0,4.0
11,0,train,V143,2.304,0.0,7.0,6.0
12,0,train,V236,2.876,0.0,7.0,4.0
13,0,train,V46,2.048,0.0,7.0,1.0
14,0,train,V69,2.189,0.0,7.0,1.0
15,0,train,V57,2.202,0.0,7.0,0.0
16,0,train,V134,1.359,1.0,7.0,7.0
17,0,train,V66,2.879,0.0,7.0,4.0
18,0,train,V58,1.853,0.0,7.0,5.0
19,0,train,V192,2.751,0.0,7.0,4.0
20,0,train,V274,1.383,1.0,7.0,7.0
21,0,train,V180,2.371,0.0,7.0,6.0
22,0,train,V59,2.603,0.0,7.0,4.0
23,0,train,V118,2.102,0.0,7.0,1.0
24,0,train,V162,1.413,1.0,7.0,7.0
25,0,train,V273,2.303,0.0,7.0,6.0
26,0,train,V72,2.527,0.0,7.0,4.0
27,0,train,V176,2.23,0.0,7.0,3.0
28,0,train,V60,2.139,0.0,7.0,0.0
29,0,train,V28,1.467,1.0,7.0,7.0
30,0,train,V209,2.351,0.0,7.0,6.0
31,0,train,V244,2.524,0.0,7.0,4.0
32,0,train,V95,2.508,0.0,7.0,2.0
33,0,train,V121,1.342,1.0,7.0,7.0
34,0,train,V92,2.439,0.0,7.0,2.0
35,0,train,V49,1.377,1.0,7.0,7.0
36,0,train,V270,1.435,1.0,7.0,7.0
37,0,train,V251,2.458,0.0,7.0,2.0
38,0,train,V119,2.102,0.0,7.0,0.0
39,0,train,V105,2.425,0.0,7.0,2.0
40,0,train,V155,2.102,0.0,7.0,5.0
41,0,train,V239,2.311,0.0,7.0,3.0
42,0,train,V183,2.296,0.0,7.0,2.0
43,0,train,V158,2.223,0.0,7.0,6.0
44,0,train,V258,2.245,0.0,7.0,6.0
45,0,train,V116,2.289,0.0,7.0,3.0
46,0,train,V198,1.555,1.0,7.0,7.0
47,0,train,V267,1.433,1.0,7.0,7.0
48,0,train,V259,2.046,0.0,7.0,1.0
49,0,train,V163,2.246,0.0,7.0,6.0
50,0,train,V104,2.452,0.0,7.0,2.0
51,0,train,V170,1.409,1.0,7.0,7.0
52,0,train,V182,2.183,0.0,7.0,5.0
53,0,train,V91,2.032,0.0,7.0,5.0
54,0,train,V67,2.106,0.0,7.0,5.0
55,0,train,V179,2.107,0.0,7.0,0.0
56,0,train,V114,2.472,0.0,7.0,2.0
57,0,train,V88,2.134,0.0,7.0,6.0
58,0,train,V230,2.28,0.0,7.0,2.0
59,0,train,V240,2.189,0.0,7.0,6.0
60,0,train,V2,1.41,1.0,7.0,7.0
61,0,train,V51,1.505,1.0,7.0,7.0
62,0,train,V78,2.501,0.0,7.0,4.0
63,0,train,V164,1.481,1.0,7.0,7.0
64,0,train,V129,2.518,0.0,7.0,4.0
65,0,train,V197,2.358,0.0,7.0,6.0
66,0,train,V144,2.076,0.0,7.0,5.0
67,0,train,V54,2.238,0.0,7.0,6.0
68,0,train,V23,1.33,1.0,7.0,7.0
69,0,train,V215,2.564,0.0,7.0,4.0
70,0,train,V48,1.363,1.0,7.0,7.0
71,0,train,V266,2.306,0.0,7.0,2.0
