,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V131,2.144,0.0,3.0,0.0
1,0,val,V10,1.109,1.0,0.0,0.0
2,0,train,V168,1.889,0.0,0.0,7.0
3,0,train,V18,1.085,1.0,7.0,7.0
4,0,train,V33,2.743,0.0,7.0,6.0
5,0,train,V57,2.365,0.0,7.0,0.0
6,0,train,V103,1.786,0.0,7.0,5.0
7,0,train,V220,2.598,0.0,5.0,0.0
8,0,train,V75,2.7,0.0,7.0,6.0
9,0,train,V212,2.861,0.0,0.0,4.0
10,0,train,V273,2.161,0.0,7.0,6.0
11,0,train,V99,2.133,0.0,7.0,6.0
12,0,train,V208,1.933,0.0,0.0,5.0
13,0,train,V173,2.673,0.0,5.0,2.0
14,0,train,V152,2.769,0.0,0.0,7.0
15,0,train,V263,1.602,0.0,5.0,6.0
16,0,train,V182,1.902,0.0,0.0,5.0
17,0,train,V43,1.59,0.0,6.0,5.0
18,0,train,V60,2.667,0.0,7.0,0.0
19,0,train,V28,2.524,0.0,5.0,7.0
20,0,train,V180,1.524,0.0,5.0,6.0
21,0,train,V55,2.264,0.0,5.0,0.0
22,0,train,V54,1.488,0.0,5.0,6.0
23,0,train,V95,2.481,0.0,5.0,2.0
24,0,train,V125,1.629,1.0,7.0,7.0
25,0,train,V116,2.877,0.0,0.0,3.0
26,0,train,V59,3.049,0.0,7.0,4.0
27,0,train,V34,2.966,0.0,7.0,3.0
28,0,train,V136,1.468,1.0,7.0,7.0
29,0,train,V232,2.447,0.0,5.0,1.0
30,0,train,V51,2.241,0.0,5.0,7.0
31,0,train,V92,2.882,0.0,7.0,2.0
32,0,train,V154,1.917,0.0,7.0,5.0
33,0,train,V26,1.42,1.0,5.0,5.0
34,0,train,V129,2.441,0.0,5.0,4.0
35,0,train,V189,1.427,1.0,5.0,5.0
36,0,train,V50,2.454,0.0,5.0,2.0
37,0,train,V223,2.469,0.0,5.0,3.0
38,0,train,V253,0.883,1.0,7.0,7.0
39,0,train,V124,2.213,0.0,5.0,7.0
40,0,train,V91,1.877,0.0,7.0,5.0
41,0,train,V165,1.911,0.0,7.0,6.0
42,0,train,V192,2.773,0.0,7.0,4.0
